"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0040011,Avon School District,0040311,Roaring Brook School,ELA,Male,50,53,51,54,36,65,54.00%,49.10%,43.10%,42.60%,50.00%,41.50%,75.00%,65.20%,65.90%,57.90%,62.10%,61.80%
0040011,Avon School District,0040311,Roaring Brook School,ELA,Female,49,59,49,50,37,50,59.20%,49.20%,71.40%,50.00%,48.60%,46.00%,74.10%,66.20%,84.50%,75.60%,57.50%,74.50%
0040011,Avon School District,0040311,Roaring Brook School,Math,Male,49,53,50,54,36,65,53.10%,47.20%,60.00%,50.00%,44.40%,44.60%,73.60%,65.60%,75.60%,73.90%,69.60%,73.80%
0040011,Avon School District,0040311,Roaring Brook School,Math,Female,49,59,49,50,37,50,36.70%,22.00%,49.00%,34.00%,37.80%,44.00%,57.40%,53.80%,68.40%,60.50%,58.20%,74.20%
0040011,Avon School District,0040511,Thompson Brook School,ELA,Male,257,230,227,222,212,195,54.50%,46.50%,59.50%,53.20%,40.60%,34.40%,74.00%,65.60%,75.00%,70.90%,57.70%,54.30%
0040011,Avon School District,0040511,Thompson Brook School,ELA,Female,257,238,238,247,242,241,62.30%,52.50%,49.60%,54.30%,47.10%,47.70%,79.30%,70.30%,68.70%,71.40%,65.10%,64.10%
0040011,Avon School District,0040511,Thompson Brook School,Math,Male,257,229,227,222,212,195,56.40%,52.80%,54.60%,59.00%,49.10%,51.80%,74.00%,69.60%,71.90%,77.00%,66.30%,70.90%
0040011,Avon School District,0040511,Thompson Brook School,Math,Female,259,238,238,246,241,241,53.30%,47.50%,53.40%,56.10%,58.90%,51.90%,74.30%,68.00%,73.90%,74.70%,74.70%,68.90%
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,ELA,Male,65,60,56,52,32,33,43.10%,40.00%,32.10%,51.90%,40.60%,39.40%,66.80%,65.70%,60.10%,74.70%,68.70%,68.50%
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,ELA,Female,67,58,53,44,45,38,46.30%,48.30%,43.40%,40.90%,64.40%,36.80%,72.50%,67.90%,62.70%,64.20%,87.20%,56.20%
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,Math,Male,65,59,54,52,32,33,32.30%,44.10%,31.50%,67.30%,59.40%,36.40%,66.60%,67.60%,54.90%,89.00%,75.90%,61.30%
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,Math,Female,67,58,53,44,45,38,37.30%,36.20%,41.50%,61.40%,57.80%,60.50%,65.70%,62.60%,71.60%,78.90%,79.30%,80.90%
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
