"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Special Education Status (SWD),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0230011,Canton School District,ELA,Non-Special Education,570,564,532,503,445,444,54.00%,40.40%,46.10%,45.30%,37.80%,42.80%,73.00%,58.50%,64.70%,63.10%,55.80%,61.00%
0230011,Canton School District,Math,Special Education,74,71,65,73,76,88,36.50%,31.00%,50.80%,27.40%,21.10%,22.70%,52.80%,52.10%,70.20%,40.20%,42.90%,43.90%
0230011,Canton School District,Math,Non-Special Education,570,561,530,502,444,444,57.50%,44.70%,54.20%,51.80%,38.10%,45.00%,79.60%,63.10%,72.60%,68.80%,57.00%,63.50%
2970013,Capital Preparatory Harbor School District,ELA,Special Education,*,7,17,31,33,31,*,*,*,38.70%,33.30%,25.80%,*,*,*,69.70%,64.20%,49.60%
2970013,Capital Preparatory Harbor School District,ELA,Non-Special Education,*,89,121,188,222,265,36.10%,55.10%,41.30%,25.00%,37.80%,41.90%,56.50%,75.90%,63.80%,48.20%,59.70%,64.00%
2970013,Capital Preparatory Harbor School District,Math,Special Education,*,7,17,31,33,31,*,*,*,45.20%,39.40%,19.40%,*,*,*,57.70%,53.40%,48.60%
2970013,Capital Preparatory Harbor School District,Math,Non-Special Education,*,89,121,187,221,265,14.60%,82.00%,41.30%,43.30%,41.60%,38.50%,32.80%,92.70%,64.30%,65.60%,62.60%,60.50%
2410014,Capitol Region Education Council,ELA,Special Education,357,403,473,521,506,593,24.40%,25.60%,31.30%,25.90%,20.40%,23.40%,49.50%,48.60%,52.90%,47.30%,41.10%,47.00%
2410014,Capitol Region Education Council,ELA,Non-Special Education,2182,2241,2293,2408,2152,2283,42.50%,38.10%,40.60%,39.40%,31.20%,34.60%,63.30%,58.10%,60.00%,58.60%,51.70%,56.40%
2410014,Capitol Region Education Council,Math,Special Education,343,395,467,513,476,561,35.60%,34.20%,27.80%,24.20%,25.60%,29.90%,54.20%,53.50%,46.70%,42.60%,44.60%,51.90%
2410014,Capitol Region Education Council,Math,Non-Special Education,2169,2218,2283,2394,2078,2259,37.60%,40.80%,33.70%,32.90%,28.20%,32.60%,59.10%,60.40%,53.60%,50.80%,47.20%,52.30%
0240011,Chaplin School District,ELA,Special Education,9,*,*,7,9,10,*,*,*,*,*,*,*,*,*,*,*,*
0240011,Chaplin School District,ELA,Non-Special Education,34,*,*,45,46,36,55.90%,41.30%,41.90%,33.30%,39.10%,41.70%,76.60%,59.30%,65.10%,51.10%,61.30%,58.60%
0240011,Chaplin School District,Math,Special Education,8,*,*,7,9,10,*,*,*,*,*,*,*,*,*,*,*,*
0240011,Chaplin School District,Math,Non-Special Education,34,*,*,44,46,36,29.40%,63.00%,55.80%,45.50%,34.80%,55.60%,42.40%,83.40%,82.80%,72.40%,71.30%,75.00%
0250011,Cheshire School District,ELA,Special Education,160,164,154,159,157,165,40.60%,25.00%,33.10%,34.60%,25.50%,26.10%,64.10%,50.40%,58.20%,54.10%,50.30%,50.80%
0250011,Cheshire School District,ELA,Non-Special Education,1528,1493,1445,1341,1256,1320,54.00%,46.50%,54.60%,56.70%,45.20%,52.90%,70.60%,63.50%,70.90%,72.40%,61.30%,71.20%
0250011,Cheshire School District,Math,Special Education,160,164,154,158,156,163,41.90%,36.60%,32.50%,39.90%,30.80%,44.80%,62.70%,57.70%,48.90%,58.90%,53.60%,63.20%
0250011,Cheshire School District,Math,Non-Special Education,1529,1490,1441,1340,1251,1316,54.30%,50.90%,52.70%,61.20%,53.10%,58.20%,73.90%,69.30%,69.90%,79.50%,70.80%,74.40%
0260011,Chester School District,ELA,Special Education,20,18,19,15,10,12,55.00%,*,*,*,*,*,77.90%,*,*,*,*,*
0260011,Chester School District,ELA,Non-Special Education,80,71,65,67,69,72,48.80%,63.40%,61.50%,56.70%,44.90%,48.60%,66.20%,81.40%,80.20%,78.30%,67.20%,67.80%
0260011,Chester School District,Math,Special Education,20,18,19,15,10,12,50.00%,*,*,*,*,*,64.80%,*,*,*,*,*
0260011,Chester School District,Math,Non-Special Education,80,71,65,67,69,72,56.30%,63.40%,52.30%,70.10%,68.10%,55.60%,76.80%,82.90%,73.90%,87.10%,88.70%,74.10%
0270011,Clinton School District,ELA,Special Education,100,108,106,101,81,74,23.00%,27.80%,18.90%,24.80%,29.60%,21.60%,49.30%,56.00%,40.60%,48.60%,55.20%,47.00%
0270011,Clinton School District,ELA,Non-Special Education,625,588,577,558,433,423,46.20%,33.30%,31.20%,44.60%,37.90%,31.20%,65.60%,52.40%,48.80%,64.10%,58.10%,51.40%
0270011,Clinton School District,Math,Special Education,100,107,107,101,80,72,39.00%,29.00%,25.20%,46.50%,33.80%,30.60%,58.90%,50.50%,43.10%,67.80%,51.40%,59.50%
0270011,Clinton School District,Math,Non-Special Education,627,589,580,558,432,423,50.10%,47.00%,34.10%,53.00%,44.00%,46.10%,71.50%,69.00%,54.10%,75.20%,64.70%,69.20%
0280011,Colchester School District,ELA,Special Education,123,130,139,131,106,116,36.60%,28.50%,32.40%,25.20%,33.00%,30.20%,61.30%,52.00%,55.30%,47.40%,58.70%,53.30%
0280011,Colchester School District,ELA,Non-Special Education,812,760,728,695,628,613,50.20%,38.30%,44.40%,43.90%,40.10%,40.90%,70.40%,55.90%,65.80%,62.80%,58.30%,59.60%
0280011,Colchester School District,Math,Special Education,123,130,139,131,106,114,31.70%,39.20%,43.90%,38.20%,43.40%,57.90%,48.70%,58.10%,63.30%,60.60%,65.00%,76.20%
0280011,Colchester School District,Math,Non-Special Education,812,759,728,694,629,613,44.20%,60.10%,56.50%,57.50%,58.50%,55.60%,63.90%,79.80%,77.50%,79.00%,78.60%,76.30%
