"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
1290011,Somers School District,ELA,Male,272,282,267,243,225,243,45.20%,27.30%,33.00%,41.60%,38.70%,47.30%,64.80%,43.80%,50.80%,59.60%,59.00%,67.80%
1290011,Somers School District,ELA,Female,264,274,257,243,209,237,48.50%,29.60%,32.30%,39.10%,39.70%,49.40%,68.60%,46.20%,53.20%,59.10%,60.90%,70.30%
1290011,Somers School District,Math,Male,272,281,265,240,224,243,49.30%,37.00%,38.50%,50.40%,44.20%,54.70%,72.40%,56.60%,60.60%,70.40%,61.80%,74.60%
1290011,Somers School District,Math,Female,263,272,255,242,209,237,47.10%,32.70%,42.00%,43.40%,37.80%,51.90%,71.90%,55.40%,64.70%,69.30%,61.50%,72.70%
1320011,South Windsor School District,ELA,Male,772,754,779,793,907,937,47.50%,40.50%,43.50%,41.60%,48.60%,43.50%,66.10%,57.10%,61.60%,60.80%,67.20%,59.90%
1320011,South Windsor School District,ELA,Female,740,731,754,776,885,896,51.90%,43.90%,47.60%,46.10%,53.10%,45.40%,69.70%,58.80%,65.50%,62.20%,70.90%,60.70%
1320011,South Windsor School District,Math,Male,769,753,779,792,904,929,57.10%,50.90%,53.30%,54.40%,55.80%,55.10%,75.50%,69.90%,69.80%,71.10%,72.00%,70.90%
1320011,South Windsor School District,Math,Female,738,728,754,776,884,891,52.70%,54.70%,48.80%,53.60%,52.90%,50.30%,75.50%,74.10%,67.80%,72.00%,69.70%,68.30%
1310011,Southington School District,ELA,Male,1272,1254,1225,1248,1109,1129,37.50%,38.40%,36.20%,39.40%,36.00%,35.60%,57.40%,59.00%,56.30%,59.40%,55.90%,55.70%
1310011,Southington School District,ELA,Female,1232,1240,1209,1158,1074,1083,41.80%,42.20%,40.70%,42.20%,41.00%,39.80%,61.90%,61.40%,61.60%,61.90%,60.90%,59.10%
1310011,Southington School District,Math,Male,1269,1253,1224,1246,1105,1125,39.20%,44.90%,35.90%,46.30%,51.00%,44.90%,59.90%,64.10%,56.40%,66.80%,72.10%,64.30%
1310011,Southington School District,Math,Female,1232,1236,1208,1158,1066,1080,39.30%,43.40%,34.60%,45.20%,48.80%,46.90%,61.80%,66.50%,56.20%,66.70%,71.00%,67.80%
1330011,Sprague School District,ELA,Male,89,83,81,81,75,75,39.30%,28.90%,35.80%,21.00%,24.00%,16.00%,59.70%,47.50%,58.00%,41.60%,47.50%,33.50%
1330011,Sprague School District,ELA,Female,75,74,68,60,55,53,46.70%,32.40%,38.20%,25.00%,34.50%,30.20%,64.40%,47.60%,59.90%,42.10%,54.60%,49.60%
1330011,Sprague School District,Math,Male,89,83,81,81,74,74,36.00%,26.50%,35.80%,11.10%,54.10%,24.30%,59.90%,46.60%,54.70%,30.10%,74.30%,46.10%
1330011,Sprague School District,Math,Female,76,74,68,60,55,53,35.50%,29.70%,32.40%,10.00%,56.40%,18.90%,59.50%,53.60%,55.00%,27.90%,77.50%,46.10%
1340011,Stafford School District,ELA,Male,297,277,276,289,242,245,47.50%,30.00%,30.80%,33.90%,33.90%,30.60%,68.50%,48.70%,50.00%,53.40%,55.40%,50.00%
1340011,Stafford School District,ELA,Female,238,248,252,270,247,249,41.60%,34.70%,40.50%,33.70%,45.70%,30.50%,63.40%,54.50%,61.70%,53.40%,64.90%,50.90%
1340011,Stafford School District,Math,Male,298,276,275,289,239,244,35.60%,26.40%,34.20%,46.00%,45.20%,38.10%,60.00%,43.30%,54.80%,65.70%,66.50%,60.20%
1340011,Stafford School District,Math,Female,238,248,252,270,245,247,43.70%,22.20%,35.70%,39.30%,45.30%,33.60%,70.80%,44.00%,63.70%,62.80%,66.30%,56.10%
2960013,Stamford Charter School for Excellence District,ELA,Male,*,*,*,26,96,108,*,*,*,76.90%,64.60%,40.70%,*,*,*,95.80%,77.20%,52.10%
2960013,Stamford Charter School for Excellence District,ELA,Female,*,*,*,23,102,118,*,*,*,52.20%,62.70%,49.20%,*,*,*,83.10%,81.60%,64.90%
2960013,Stamford Charter School for Excellence District,Math,Male,*,*,*,26,96,108,*,*,*,53.80%,75.00%,58.30%,*,*,*,74.50%,88.00%,72.50%
2960013,Stamford Charter School for Excellence District,Math,Female,*,*,*,23,102,118,*,*,*,43.50%,74.50%,57.60%,*,*,*,73.50%,90.60%,71.90%
1350011,Stamford School District,ELA,Male,2626,2788,2838,2847,2731,2826,39.60%,36.90%,35.50%,34.90%,33.50%,31.30%,61.60%,57.30%,57.90%,54.90%,54.60%,52.00%
1350011,Stamford School District,ELA,Female,2612,2665,2699,2687,2539,2671,43.70%,36.50%,39.60%,38.30%,38.60%,33.20%,64.50%,57.30%,61.70%,59.30%,58.80%,53.20%
1350011,Stamford School District,Math,Male,2669,2777,2827,2840,2703,2810,40.40%,44.40%,37.10%,39.10%,40.00%,38.20%,61.90%,65.10%,56.10%,58.60%,58.30%,57.00%
1350011,Stamford School District,Math,Female,2642,2663,2692,2683,2514,2658,39.10%,44.50%,39.60%,38.60%,38.70%,36.30%,61.30%,66.00%,60.50%,59.80%,58.00%,55.60%
0000000,State of Connecticut,ELA,Male,94764,95525,94952,94356,85545,88644,41.00%,34.20%,37.90%,37.90%,38.30%,36.10%,61.90%,53.80%,58.30%,58.00%,58.60%,56.10%
0000000,State of Connecticut,ELA,Female,90581,91623,91260,90785,82182,85407,45.40%,37.70%,42.90%,42.10%,42.10%,38.30%,65.70%,57.10%,63.20%,61.90%,62.40%,58.30%
0000000,State of Connecticut,Math,Male,95051,95052,94520,93972,84073,87983,43.80%,41.60%,41.50%,43.00%,46.60%,43.50%,64.30%,61.10%,60.60%,62.00%,65.60%,62.30%
0000000,State of Connecticut,Math,Female,90813,91225,90912,90500,80689,84837,43.90%,41.40%,42.70%,42.80%,44.90%,41.30%,65.70%,62.20%,63.20%,63.00%,64.80%,61.40%
1360011,Sterling School District,ELA,Male,114,99,102,104,84,75,38.60%,23.20%,42.20%,23.10%,20.20%,40.00%,60.90%,35.20%,65.70%,41.90%,43.40%,60.60%
1360011,Sterling School District,ELA,Female,113,104,86,83,82,71,44.20%,27.90%,41.90%,32.50%,32.90%,31.00%,68.00%,47.50%,59.40%,47.00%,56.90%,51.50%
1360011,Sterling School District,Math,Male,113,99,102,104,83,75,47.80%,17.20%,44.10%,27.90%,27.70%,32.00%,66.70%,31.10%,70.70%,45.00%,48.90%,46.50%
1360011,Sterling School District,Math,Female,113,104,84,82,82,71,43.40%,26.90%,40.50%,29.30%,30.50%,16.90%,66.30%,45.50%,65.20%,50.60%,52.00%,37.10%
1370011,Stonington School District,ELA,Male,411,401,394,379,307,297,42.80%,39.20%,37.60%,46.40%,39.10%,38.70%,60.60%,56.50%,56.40%,64.90%,56.60%,55.30%
1370011,Stonington School District,ELA,Female,345,371,354,347,314,306,48.10%,44.20%,46.30%,51.30%,47.10%,41.50%,62.40%,61.80%,61.50%,69.70%,64.90%,59.00%
1370011,Stonington School District,Math,Male,410,401,394,379,304,295,47.30%,41.90%,37.30%,52.50%,58.60%,49.80%,67.70%,57.80%,51.70%,70.40%,74.10%,66.70%
1370011,Stonington School District,Math,Female,346,370,352,346,313,306,48.30%,42.20%,39.20%,50.00%,53.70%,44.10%,71.00%,62.40%,57.50%,68.90%,71.90%,61.60%
1380011,Stratford School District,ELA,Male,1283,1282,1280,1214,1130,1218,37.40%,32.60%,32.60%,32.60%,35.40%,31.60%,57.80%,53.50%,53.10%,55.00%,55.90%,52.90%
1380011,Stratford School District,ELA,Female,1259,1293,1250,1267,1078,1114,41.20%,34.90%,37.00%,37.60%,41.70%,34.20%,63.30%,55.30%,58.80%,58.70%,61.40%,55.00%
1380011,Stratford School District,Math,Male,1284,1281,1279,1214,1115,1198,45.70%,30.90%,33.50%,38.20%,42.50%,31.60%,65.60%,51.20%,54.10%,57.40%,62.90%,50.90%
1380011,Stratford School District,Math,Female,1256,1293,1246,1265,1052,1103,44.00%,34.90%,36.40%,37.10%,40.10%,32.20%,65.10%,55.20%,57.80%,59.80%,60.70%,53.10%
1390011,Suffield School District,ELA,Male,396,386,355,348,333,364,42.40%,31.30%,41.40%,42.00%,39.90%,38.50%,60.60%,47.10%,60.40%,62.10%,60.50%,55.90%
1390011,Suffield School District,ELA,Female,418,408,412,363,311,319,44.50%,39.50%,44.20%,50.70%,45.30%,35.70%,62.00%,58.70%,63.50%,69.20%,65.20%,53.40%
1390011,Suffield School District,Math,Male,396,383,351,349,334,366,44.20%,39.20%,44.40%,51.90%,61.40%,48.40%,64.10%,59.80%,64.30%,73.60%,81.30%,68.00%
1390011,Suffield School District,Math,Female,417,405,408,362,309,318,40.80%,41.70%,49.50%,55.20%,62.80%,42.50%,63.70%,64.10%,70.00%,74.20%,82.90%,63.10%
2690013,The Bridge Academy District,ELA,Male,49,45,35,46,39,46,22.40%,31.10%,28.60%,23.90%,25.60%,28.30%,45.50%,48.60%,49.40%,37.70%,47.20%,53.50%
2690013,The Bridge Academy District,ELA,Female,48,44,51,44,58,47,29.20%,25.00%,43.10%,50.00%,37.90%,29.80%,44.40%,44.10%,66.90%,66.70%,61.00%,54.00%
2690013,The Bridge Academy District,Math,Male,49,45,34,45,38,46,42.90%,46.70%,35.30%,33.30%,50.00%,39.10%,62.30%,67.10%,53.00%,51.50%,62.70%,55.60%
2690013,The Bridge Academy District,Math,Female,48,43,51,44,58,47,56.30%,32.60%,29.40%,45.50%,41.40%,27.70%,78.60%,58.80%,50.20%,57.50%,55.50%,43.30%
9020022,The Gilbert School District,ELA,Male,81,79,67,70,78,70,28.40%,25.30%,20.90%,51.40%,26.90%,18.60%,44.10%,43.70%,40.80%,70.00%,43.40%,37.30%
9020022,The Gilbert School District,ELA,Female,76,71,85,71,63,55,26.30%,35.20%,30.60%,42.30%,33.30%,30.90%,43.30%,52.00%,46.10%,63.60%,50.90%,53.10%
9020022,The Gilbert School District,Math,Male,80,77,68,69,79,70,40.00%,19.50%,39.70%,49.30%,22.80%,18.60%,58.40%,31.00%,55.10%,65.20%,32.60%,24.40%
9020022,The Gilbert School District,Math,Female,76,71,85,70,64,54,35.50%,11.30%,35.30%,44.30%,17.20%,13.00%,50.50%,26.40%,55.40%,68.20%,28.00%,22.00%
1400011,Thomaston School District,ELA,Male,175,168,139,141,143,146,33.70%,45.80%,36.00%,34.80%,42.00%,28.80%,60.30%,66.60%,55.30%,58.30%,58.80%,50.90%
1400011,Thomaston School District,ELA,Female,197,198,178,168,147,157,45.20%,46.50%,42.70%,44.60%,44.90%,32.50%,68.10%,70.40%,63.30%,62.60%,64.40%,51.80%
1400011,Thomaston School District,Math,Male,176,168,139,139,139,145,36.40%,35.70%,33.10%,44.60%,52.50%,34.50%,58.30%,54.90%,54.70%,66.10%,73.70%,55.50%
1400011,Thomaston School District,Math,Female,198,198,178,168,139,156,38.90%,29.80%,33.70%,44.60%,56.10%,44.20%,61.50%,51.50%,60.60%,65.30%,75.40%,63.30%
1410011,Thompson School District,ELA,Male,203,211,195,192,169,163,24.60%,32.20%,25.60%,24.50%,33.10%,20.20%,46.00%,52.80%,44.20%,43.20%,52.80%,38.50%
1410011,Thompson School District,ELA,Female,168,165,167,155,156,163,25.60%,38.80%,23.40%,27.10%,39.70%,29.40%,42.70%,59.50%,44.30%,48.30%,62.90%,47.70%
1410011,Thompson School District,Math,Male,202,212,194,190,167,160,25.70%,37.70%,22.70%,25.80%,41.30%,29.40%,47.40%,60.90%,42.90%,44.30%,58.50%,51.60%
1410011,Thompson School District,Math,Female,167,164,167,154,158,161,29.30%,35.40%,29.30%,23.40%,36.70%,30.40%,50.80%,56.30%,56.20%,43.50%,58.40%,51.30%
1420011,Tolland School District,ELA,Male,506,487,481,448,401,404,45.70%,32.00%,31.60%,33.70%,38.40%,42.60%,65.20%,49.70%,51.20%,50.80%,56.90%,59.80%
1420011,Tolland School District,ELA,Female,501,460,415,405,350,351,45.90%,40.00%,42.90%,38.30%,44.00%,46.40%,63.90%,58.30%,62.40%,56.50%,61.70%,66.70%
1420011,Tolland School District,Math,Male,508,486,481,445,399,404,49.40%,38.90%,37.00%,45.60%,56.90%,63.60%,70.50%,58.50%,56.30%,65.90%,75.70%,82.30%
1420011,Tolland School District,Math,Female,499,458,414,404,348,349,47.90%,41.70%,38.20%,46.50%,53.40%,63.90%,69.60%,61.40%,59.10%,68.40%,75.20%,81.70%
1430011,Torrington School District,ELA,Male,792,793,798,775,721,747,29.30%,25.20%,34.10%,31.40%,38.30%,35.30%,51.10%,45.70%,55.70%,49.90%,59.70%,54.10%
1430011,Torrington School District,ELA,Female,709,749,767,707,676,675,32.70%,28.30%,37.90%,37.60%,44.20%,34.40%,52.00%,49.00%,57.70%,56.40%,64.10%,54.70%
1430011,Torrington School District,Math,Male,791,788,794,775,689,738,31.10%,26.90%,35.50%,35.50%,40.80%,35.00%,52.30%,48.10%,56.00%,57.60%,60.50%,54.40%
1430011,Torrington School District,Math,Female,708,745,762,705,663,669,32.20%,25.80%,38.50%,36.30%,41.20%,33.80%,54.40%,47.90%,62.60%,56.30%,63.40%,55.20%
2780013,Trailblazers Academy District,ELA,Male,58,65,57,60,*,*,24.10%,9.20%,40.40%,30.00%,*,*,44.30%,25.10%,63.60%,50.80%,*,*
2780013,Trailblazers Academy District,ELA,Female,47,43,38,44,*,*,19.10%,18.60%,28.90%,38.60%,*,*,39.00%,33.80%,58.50%,57.80%,*,*
2780013,Trailblazers Academy District,Math,Male,58,64,56,60,*,*,20.70%,23.40%,19.60%,16.70%,*,*,31.30%,39.30%,38.80%,39.40%,*,*
2780013,Trailblazers Academy District,Math,Female,46,43,38,44,*,*,21.70%,20.90%,13.20%,15.90%,*,*,40.90%,32.10%,22.00%,33.70%,*,*
1440011,Trumbull School District,ELA,Male,1205,1265,1301,1277,1237,1288,66.00%,48.90%,49.60%,48.90%,52.50%,49.10%,84.20%,66.70%,67.30%,64.90%,69.90%,66.30%
1440011,Trumbull School District,ELA,Female,1136,1186,1188,1143,1140,1183,71.60%,52.20%,56.20%,54.70%,54.30%,53.40%,89.00%,67.60%,71.90%,72.70%,72.30%,71.10%
1440011,Trumbull School District,Math,Male,1209,1262,1298,1274,1234,1286,68.70%,55.80%,55.40%,53.40%,60.50%,57.70%,87.80%,72.80%,72.20%,72.10%,78.90%,74.90%
1440011,Trumbull School District,Math,Female,1137,1184,1187,1141,1138,1179,70.50%,57.30%,55.50%,54.70%,59.70%,56.40%,90.10%,75.30%,74.90%,73.60%,78.50%,74.70%
3470015,Unified School District #2,ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3470015,Unified School District #2,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3470015,Unified School District #2,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
3470015,Unified School District #2,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1450011,Union School District,ELA,Male,16,15,9,8,13,18,*,*,*,*,*,*,*,*,*,*,*,*
1450011,Union School District,ELA,Female,23,23,20,16,12,10,47.80%,43.50%,55.00%,*,*,*,71.30%,57.30%,79.50%,*,*,*
1450011,Union School District,Math,Male,16,15,9,8,13,18,*,*,*,*,*,*,*,*,*,*,*,*
1450011,Union School District,Math,Female,23,23,20,16,12,10,65.20%,43.50%,55.00%,*,*,*,78.90%,55.90%,85.70%,*,*,*
1460011,Vernon School District,ELA,Male,558,563,539,553,517,530,40.00%,40.50%,24.50%,43.60%,36.90%,42.60%,60.70%,62.70%,44.60%,65.20%,58.10%,62.40%
1460011,Vernon School District,ELA,Female,517,546,550,538,500,479,40.60%,36.80%,34.20%,45.90%,44.60%,42.60%,60.60%,58.30%,53.90%,66.40%,65.50%,63.90%
1460011,Vernon School District,Math,Male,556,560,536,546,501,525,42.80%,41.60%,37.90%,46.70%,49.70%,45.50%,65.90%,64.80%,56.60%,65.10%,68.90%,65.40%
1460011,Vernon School District,Math,Female,516,544,550,535,487,474,42.80%,47.60%,41.50%,41.90%,54.80%,43.00%,66.30%,68.10%,59.30%,64.60%,75.90%,65.50%
1470011,Voluntown School District,ELA,Male,76,70,71,71,69,56,32.90%,38.60%,33.80%,54.90%,27.50%,25.00%,51.30%,62.20%,51.20%,76.00%,47.80%,52.20%
1470011,Voluntown School District,ELA,Female,68,68,65,63,59,56,41.20%,35.30%,49.20%,41.30%,52.50%,33.90%,66.40%,56.70%,68.90%,63.00%,71.00%,53.80%
1470011,Voluntown School District,Math,Male,76,70,71,71,69,56,51.30%,51.40%,40.80%,62.00%,43.50%,35.70%,72.40%,73.30%,63.30%,79.70%,68.90%,48.10%
1470011,Voluntown School District,Math,Female,68,68,65,63,58,56,48.50%,54.40%,47.70%,58.70%,53.40%,37.50%,78.40%,75.70%,67.80%,79.90%,77.40%,59.20%
1480011,Wallingford School District,ELA,Male,1105,1079,1064,1021,923,959,43.00%,31.50%,28.90%,37.60%,34.00%,31.40%,65.20%,52.40%,48.80%,58.30%,55.00%,52.70%
1480011,Wallingford School District,ELA,Female,1060,1026,992,975,895,878,45.80%,33.90%,34.10%,37.90%,40.00%,34.70%,66.40%,55.70%,55.00%,58.70%,60.00%,54.80%
1480011,Wallingford School District,Math,Male,1105,1081,1047,1005,914,946,37.90%,34.50%,32.20%,34.20%,38.90%,39.50%,59.60%,56.10%,51.80%,55.60%,59.70%,58.90%
1480011,Wallingford School District,Math,Female,1065,1021,981,973,884,875,38.00%,30.90%,32.70%,35.90%,36.20%,35.80%,61.30%,55.70%,54.00%,57.20%,56.50%,56.20%
1510011,Waterbury School District,ELA,Male,3168,3282,3256,3357,2962,3169,32.70%,24.30%,25.80%,33.00%,35.30%,27.50%,56.40%,45.50%,48.40%,56.90%,57.80%,49.90%
1510011,Waterbury School District,ELA,Female,3129,3170,3177,3169,2810,2931,33.80%,27.60%,29.70%,35.40%,36.40%,28.40%,57.70%,50.00%,53.30%,58.90%,59.50%,51.40%
1510011,Waterbury School District,Math,Male,3206,3279,3250,3349,2885,3141,30.70%,30.30%,29.70%,32.00%,36.80%,32.50%,51.80%,50.60%,50.20%,52.60%,56.30%,52.40%
1510011,Waterbury School District,Math,Female,3148,3168,3166,3168,2722,2910,30.40%,31.60%,31.50%,33.30%,33.20%,29.80%,51.30%,53.10%,51.60%,55.00%,52.80%,51.40%
1520011,Waterford School District,ELA,Male,485,472,456,439,428,422,42.50%,31.60%,39.30%,41.50%,38.60%,33.40%,61.20%,50.90%,58.10%,59.80%,58.50%,50.50%
1520011,Waterford School District,ELA,Female,483,485,494,473,438,418,45.80%,37.90%,41.90%,50.30%,46.80%,31.10%,66.40%,57.70%,60.00%,68.40%,68.20%,50.00%
1520011,Waterford School District,Math,Male,485,472,456,439,426,421,48.20%,36.70%,40.80%,55.80%,53.80%,39.20%,66.40%,56.10%,60.00%,75.90%,76.20%,59.30%
1520011,Waterford School District,Math,Female,484,486,494,473,432,415,44.20%,38.70%,42.90%,55.40%,50.90%,37.80%,66.30%,59.80%,63.80%,73.80%,72.30%,59.00%
1530011,Watertown School District,ELA,Male,557,561,558,547,500,505,44.20%,39.20%,40.70%,36.20%,38.60%,29.10%,67.20%,60.50%,62.10%,55.80%,59.30%,49.50%
1530011,Watertown School District,ELA,Female,488,484,495,476,409,415,47.30%,42.10%,48.90%,40.50%,38.40%,33.30%,68.20%,61.90%,67.50%,59.70%,60.70%,53.50%
1530011,Watertown School District,Math,Male,557,559,556,545,498,503,34.80%,45.10%,39.90%,37.60%,52.20%,38.20%,57.80%,66.90%,59.90%,55.70%,72.50%,58.00%
1530011,Watertown School District,Math,Female,488,482,494,475,406,415,38.90%,44.60%,45.10%,36.60%,51.00%,34.70%,61.20%,67.70%,67.50%,56.50%,73.30%,56.70%
1550011,West Hartford School District,ELA,Male,1780,1778,1775,1735,1548,1555,41.50%,42.60%,41.90%,44.80%,44.10%,39.50%,59.50%,61.10%,60.40%,63.50%,63.10%,58.80%
1550011,West Hartford School District,ELA,Female,1718,1774,1754,1680,1564,1612,47.40%,44.30%,47.40%,49.00%,50.10%,44.40%,65.60%,62.10%,66.80%,68.20%,69.10%,62.10%
1550011,West Hartford School District,Math,Male,1780,1774,1771,1730,1510,1539,46.80%,48.50%,46.90%,50.20%,50.30%,51.70%,65.90%,67.50%,66.10%,68.30%,68.90%,68.70%
1550011,West Hartford School District,Math,Female,1714,1768,1751,1673,1526,1601,45.00%,47.50%,46.40%,47.70%,48.80%,49.70%,65.60%,68.50%,66.10%,66.50%,66.90%,68.70%
1560011,West Haven School District,ELA,Male,998,1030,1096,1080,959,1055,36.70%,32.50%,30.80%,37.10%,36.30%,37.00%,59.10%,54.70%,53.10%,59.20%,59.70%,59.20%
1560011,West Haven School District,ELA,Female,1005,980,1004,1003,857,946,40.10%,34.70%,38.60%,40.20%,36.40%,37.20%,63.20%,57.10%,59.40%,60.20%,61.60%,59.70%
1560011,West Haven School District,Math,Male,1003,1028,1094,1073,934,1041,45.70%,39.40%,36.20%,41.80%,45.00%,44.80%,67.20%,61.20%,57.10%,61.30%,63.70%,63.70%
1560011,West Haven School District,Math,Female,1011,978,1001,999,842,939,48.40%,40.60%,43.40%,42.70%,43.50%,43.80%,71.70%,64.30%,65.50%,63.20%,62.70%,62.80%
1540011,Westbrook School District,ELA,Male,141,152,154,123,84,80,48.90%,52.60%,48.10%,51.20%,45.20%,41.30%,69.00%,71.70%,70.40%,72.60%,67.40%,60.80%
1540011,Westbrook School District,ELA,Female,117,115,123,112,109,115,52.10%,52.20%,51.20%,54.50%,51.40%,43.50%,73.80%,70.80%,70.40%,69.80%,70.10%,63.90%
1540011,Westbrook School District,Math,Male,142,152,154,123,84,80,57.70%,67.10%,46.80%,57.70%,58.30%,66.30%,78.40%,85.50%,65.00%,75.70%,79.90%,83.20%
1540011,Westbrook School District,Math,Female,118,115,123,112,109,115,64.40%,72.20%,44.70%,54.50%,57.80%,60.90%,87.10%,92.10%,64.90%,81.20%,80.90%,84.30%
1570011,Weston School District,ELA,Male,457,453,462,441,411,399,46.60%,34.40%,47.80%,41.70%,47.00%,49.40%,65.50%,53.10%,67.30%,60.80%,66.30%,66.80%
1570011,Weston School District,ELA,Female,428,414,410,420,382,381,52.10%,44.40%,49.80%,48.80%,50.00%,55.60%,72.70%,59.90%,69.20%,68.70%,66.20%,70.00%
1570011,Weston School District,Math,Male,456,453,462,440,410,398,47.80%,51.90%,59.50%,59.80%,60.00%,60.10%,66.10%,70.80%,78.60%,76.60%,75.90%,73.70%
1570011,Weston School District,Math,Female,427,412,408,416,382,381,44.70%,53.60%,54.40%,56.50%,58.40%,55.90%,66.00%,70.80%,76.10%,73.50%,76.70%,72.60%
1580011,Westport School District,ELA,Male,1067,1050,1041,1006,907,916,44.60%,43.70%,52.30%,48.40%,42.90%,47.30%,62.30%,60.40%,68.60%,65.00%,59.90%,62.80%
1580011,Westport School District,ELA,Female,996,988,972,937,912,960,49.20%,47.70%,58.30%,52.70%,48.10%,46.30%,65.50%,63.90%,74.40%,68.80%,64.80%,63.00%
1580011,Westport School District,Math,Male,1067,1048,1041,1007,905,912,52.20%,56.10%,68.80%,65.70%,60.40%,65.20%,70.10%,71.50%,84.20%,80.80%,77.60%,79.50%
1580011,Westport School District,Math,Female,996,982,969,936,911,958,48.80%,52.30%,64.50%,65.80%,56.20%,58.40%,68.60%,70.60%,83.50%,81.80%,73.10%,75.00%
1590011,Wethersfield School District,ELA,Male,633,653,657,644,642,663,50.90%,37.40%,35.80%,39.80%,38.20%,36.70%,70.30%,59.00%,54.80%,59.50%,57.30%,56.10%
1590011,Wethersfield School District,ELA,Female,650,639,653,649,652,653,59.10%,44.30%,42.60%,43.30%,42.60%,38.10%,77.60%,61.40%,62.60%,63.90%,64.20%,56.60%
1590011,Wethersfield School District,Math,Male,633,651,657,643,639,661,58.50%,49.00%,43.80%,44.50%,45.50%,43.70%,78.30%,68.40%,63.10%,64.40%,64.00%,63.00%
1590011,Wethersfield School District,Math,Female,650,639,652,646,647,653,61.10%,48.70%,52.50%,51.50%,47.90%,38.10%,81.50%,70.00%,70.90%,70.00%,68.20%,59.60%
1600011,Willington School District,ELA,Male,110,114,121,120,100,97,46.40%,36.80%,38.00%,27.50%,29.00%,45.40%,66.50%,57.20%,59.80%,45.20%,52.40%,65.70%
1600011,Willington School District,ELA,Female,108,105,103,107,95,101,49.10%,43.80%,57.30%,26.20%,37.90%,29.70%,71.80%,64.40%,78.30%,48.00%,54.70%,48.30%
1600011,Willington School District,Math,Male,110,114,121,120,99,97,48.20%,43.00%,43.80%,44.20%,50.50%,51.50%,69.80%,71.30%,67.80%,61.90%,69.60%,74.90%
1600011,Willington School District,Math,Female,108,105,103,107,93,100,43.50%,49.50%,41.70%,41.10%,51.60%,41.00%,71.30%,74.00%,64.50%,63.20%,75.30%,65.60%
1610011,Wilton School District,ELA,Male,817,783,728,731,653,670,54.70%,40.70%,47.80%,49.00%,56.50%,51.80%,73.70%,58.10%,65.40%,65.70%,73.40%,68.00%
1610011,Wilton School District,ELA,Female,774,764,743,725,651,655,57.90%,42.70%,56.00%,50.30%,59.00%,52.80%,75.70%,58.40%,73.20%,66.90%,77.30%,69.60%
1610011,Wilton School District,Math,Male,817,782,727,727,647,666,60.60%,55.20%,55.40%,55.30%,72.80%,68.60%,79.60%,73.10%,73.10%,74.20%,90.70%,83.80%
1610011,Wilton School District,Math,Female,773,762,743,727,643,646,59.20%,51.80%,56.00%,51.40%,70.90%,68.90%,81.40%,73.00%,75.80%,72.30%,89.30%,85.10%
1620011,Winchester School District,ELA,Male,112,120,119,117,99,102,31.30%,34.20%,32.80%,35.90%,39.40%,35.30%,55.60%,54.00%,57.00%,58.70%,61.40%,55.50%
1620011,Winchester School District,ELA,Female,105,104,88,90,100,117,49.50%,33.70%,43.20%,43.30%,40.00%,35.90%,70.50%,59.10%,67.10%,65.10%,60.10%,59.00%
1620011,Winchester School District,Math,Male,110,119,118,117,98,102,37.30%,29.40%,57.60%,49.60%,52.00%,38.20%,57.80%,53.50%,79.30%,72.50%,79.10%,61.30%
1620011,Winchester School District,Math,Female,108,103,88,90,99,117,34.30%,34.00%,59.10%,53.30%,53.50%,35.90%,57.90%,57.20%,78.90%,78.80%,76.40%,54.90%
1630011,Windham School District,ELA,Male,582,644,645,661,508,600,42.40%,30.40%,29.10%,33.30%,29.90%,34.50%,65.20%,52.20%,50.80%,55.30%,51.40%,56.10%
1630011,Windham School District,ELA,Female,547,584,621,607,482,596,45.30%,35.30%,29.80%,31.60%,32.60%,30.40%,68.80%,56.10%,50.30%,55.70%,54.70%,56.30%
1630011,Windham School District,Math,Male,584,636,642,655,493,593,42.30%,34.30%,36.90%,36.60%,41.80%,41.30%,63.50%,55.80%,55.70%,57.70%,61.40%,62.00%
1630011,Windham School District,Math,Female,546,581,621,606,475,592,42.90%,32.00%,36.20%,35.10%,37.30%,35.00%,66.10%,53.20%,58.60%,56.10%,59.70%,56.60%
1650011,Windsor Locks School District,ELA,Male,297,275,256,246,220,240,41.80%,30.90%,33.20%,23.60%,37.30%,37.50%,66.60%,48.30%,56.00%,43.90%,60.50%,61.00%
1650011,Windsor Locks School District,ELA,Female,285,275,271,270,265,288,44.90%,36.70%,44.30%,35.90%,47.50%,43.80%,66.80%,56.40%,67.60%,55.40%,66.90%,64.60%
