"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, All Students",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0460011,Easton School District,6,ELA,96,118,98,97,90,87,42.70%,43.20%,55.10%,60.80%,64.40%,59.80%,61.10%,56.60%,71.60%,75.80%,80.70%,71.20%
0460011,Easton School District,6,Math,96,118,99,97,90,87,61.50%,38.10%,66.70%,62.90%,77.80%,62.10%,78.20%,55.70%,86.40%,77.80%,90.90%,80.60%
0460011,Easton School District,7,ELA,92,93,117,102,98,93,54.30%,64.50%,40.20%,52.90%,52.00%,52.70%,74.90%,84.00%,55.60%,68.80%,65.60%,64.60%
0460011,Easton School District,7,Math,93,92,117,102,98,93,63.40%,53.30%,32.50%,41.20%,53.10%,48.40%,81.10%,69.90%,49.00%,58.10%,68.20%,65.10%
0460011,Easton School District,8,ELA,100,92,93,118,95,104,54.00%,40.20%,35.50%,42.40%,34.70%,55.80%,71.20%,54.00%,48.90%,59.60%,46.90%,68.00%
0460011,Easton School District,8,Math,94,92,92,118,94,104,69.10%,72.80%,41.30%,60.20%,53.20%,55.80%,85.90%,85.50%,55.10%,71.10%,68.30%,68.20%
2420014,EdAdvance,4,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,4,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,5,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,5,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,6,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,6,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,7,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,7,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,8,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2420014,EdAdvance,8,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0480011,Ellington School District,4,ELA,195,184,200,194,204,183,51.80%,42.40%,51.00%,47.90%,57.80%,55.70%,76.80%,65.80%,71.70%,68.50%,76.50%,79.90%
0480011,Ellington School District,4,Math,195,184,196,193,204,182,50.80%,29.30%,52.00%,43.00%,57.80%,64.30%,81.30%,58.50%,78.20%,72.60%,83.90%,87.20%
0480011,Ellington School District,5,ELA,210,204,186,198,172,209,50.00%,33.80%,34.40%,43.90%,43.00%,42.60%,72.10%,52.90%,57.90%,65.90%,62.20%,60.90%
0480011,Ellington School District,5,Math,211,204,186,194,174,209,50.20%,32.40%,39.80%,50.50%,50.60%,56.90%,70.50%,52.10%,56.30%,70.40%,72.00%,76.00%
0480011,Ellington School District,6,ELA,209,207,196,192,176,177,46.90%,39.10%,45.90%,53.10%,50.60%,48.00%,61.30%,52.40%,64.80%,75.30%,71.30%,66.70%
0480011,Ellington School District,6,Math,209,206,196,192,175,177,46.90%,51.50%,56.60%,67.70%,78.30%,74.60%,66.40%,70.40%,77.50%,86.90%,92.40%,89.90%
0480011,Ellington School District,7,ELA,198,215,211,208,183,184,43.40%,28.80%,45.50%,34.60%,36.60%,35.90%,61.10%,44.00%,61.20%,49.50%,51.60%,52.80%
0480011,Ellington School District,7,Math,198,215,210,207,184,183,43.90%,38.60%,40.00%,46.40%,37.50%,36.10%,65.30%,57.50%,52.50%,65.00%,51.90%,51.50%
0480011,Ellington School District,8,ELA,201,207,213,211,192,197,33.30%,30.40%,51.60%,27.00%,38.50%,41.60%,54.20%,45.50%,68.00%,40.70%,55.60%,57.30%
0480011,Ellington School District,8,Math,201,207,213,211,192,195,45.80%,49.80%,35.70%,34.10%,46.90%,42.60%,65.50%,64.30%,49.20%,48.10%,61.50%,58.70%
2890013,Elm City College Preparatory School District,4,ELA,62,62,59,62,61,61,75.80%,43.50%,39.00%,46.80%,54.10%,45.90%,95.80%,70.60%,59.10%,69.10%,73.00%,66.10%
2890013,Elm City College Preparatory School District,4,Math,62,61,59,62,60,61,50.00%,23.00%,28.80%,37.10%,48.30%,42.60%,78.30%,38.40%,63.30%,58.30%,77.00%,74.80%
2890013,Elm City College Preparatory School District,5,ELA,66,60,62,59,60,57,33.30%,30.00%,35.50%,35.60%,25.00%,15.80%,60.30%,45.30%,65.30%,53.90%,51.40%,32.10%
2890013,Elm City College Preparatory School District,5,Math,66,60,62,59,60,57,34.80%,20.00%,56.50%,33.90%,21.70%,8.80%,54.90%,39.10%,77.90%,56.60%,41.60%,28.00%
2890013,Elm City College Preparatory School District,6,ELA,66,61,61,60,52,61,54.50%,45.90%,47.50%,40.00%,48.10%,44.30%,75.90%,68.30%,62.50%,62.50%,64.80%,70.60%
2890013,Elm City College Preparatory School District,6,Math,66,61,59,60,51,61,50.00%,62.30%,44.10%,31.70%,7.80%,36.10%,71.30%,82.20%,66.40%,51.60%,22.20%,46.70%
2890013,Elm City College Preparatory School District,7,ELA,58,65,61,58,54,58,50.00%,24.60%,36.10%,55.20%,64.80%,60.30%,69.80%,46.60%,52.90%,67.80%,85.90%,77.20%
2890013,Elm City College Preparatory School District,7,Math,58,65,61,58,53,58,36.20%,36.90%,39.30%,46.60%,20.80%,51.70%,54.30%,54.60%,57.10%,65.30%,44.50%,73.70%
2890013,Elm City College Preparatory School District,8,ELA,58,57,57,57,62,57,60.30%,38.60%,61.40%,52.60%,51.60%,21.10%,75.50%,50.70%,82.90%,71.40%,69.60%,32.00%
2890013,Elm City College Preparatory School District,8,Math,58,57,57,57,62,55,62.10%,68.40%,78.90%,63.20%,25.80%,18.20%,79.70%,83.80%,94.70%,75.00%,37.80%,33.50%
2910013,Elm City Montessori School District,4,ELA,*,*,*,17,24,24,*,*,*,*,20.80%,41.70%,*,*,*,*,38.10%,54.50%
2910013,Elm City Montessori School District,4,Math,*,*,*,17,23,24,*,*,*,*,17.40%,25.00%,*,*,*,*,53.30%,51.70%
2910013,Elm City Montessori School District,5,ELA,*,*,*,*,21,23,*,*,*,*,23.80%,43.50%,*,*,*,*,44.30%,64.50%
2910013,Elm City Montessori School District,5,Math,*,*,*,*,21,23,*,*,*,*,19.00%,21.70%,*,*,*,*,36.80%,39.40%
2910013,Elm City Montessori School District,6,ELA,*,*,*,*,15,14,*,*,*,*,*,*,*,*,*,*,*,*
2910013,Elm City Montessori School District,6,Math,*,*,*,*,15,14,*,*,*,*,*,*,*,*,*,*,*,*
2910013,Elm City Montessori School District,7,ELA,*,*,*,*,16,18,*,*,*,*,*,*,*,*,*,*,*,*
2910013,Elm City Montessori School District,7,Math,*,*,*,*,16,18,*,*,*,*,*,*,*,*,*,*,*,*
2910013,Elm City Montessori School District,8,ELA,*,*,*,*,*,15,*,*,*,*,*,*,*,*,*,*,*,*
2910013,Elm City Montessori School District,8,Math,*,*,*,*,*,15,*,*,*,*,*,*,*,*,*,*,*,*
0490011,Enfield School District,4,ELA,350,354,328,361,304,273,47.70%,33.30%,39.30%,38.20%,40.50%,37.40%,73.10%,58.10%,66.30%,66.00%,65.60%,66.50%
0490011,Enfield School District,4,Math,350,356,328,361,303,273,52.60%,41.90%,32.30%,47.90%,59.10%,45.10%,81.50%,72.60%,62.70%,78.20%,86.20%,74.00%
0490011,Enfield School District,5,ELA,370,350,360,327,344,328,47.80%,28.30%,36.10%,38.50%,45.30%,39.60%,71.80%,48.40%,60.20%,61.30%,68.90%,63.90%
0490011,Enfield School District,5,Math,371,350,356,326,341,328,26.70%,22.60%,27.00%,39.60%,61.90%,37.80%,52.90%,44.10%,49.30%,61.40%,81.10%,61.50%
0490011,Enfield School District,6,ELA,313,357,334,355,323,353,33.90%,21.30%,29.00%,25.60%,38.10%,24.10%,52.40%,39.40%,45.50%,43.80%,56.70%,41.60%
0490011,Enfield School District,6,Math,312,357,334,353,318,351,40.40%,44.00%,26.60%,40.20%,45.90%,26.80%,65.60%,64.80%,47.40%,60.90%,66.90%,43.00%
0490011,Enfield School District,7,ELA,356,324,350,343,336,325,41.90%,28.10%,30.30%,33.20%,33.60%,29.50%,64.50%,43.40%,48.10%,49.20%,54.20%,50.40%
0490011,Enfield School District,7,Math,353,324,348,342,320,319,22.40%,20.40%,19.30%,26.90%,46.60%,37.00%,42.00%,34.50%,34.40%,43.70%,65.90%,55.90%
0490011,Enfield School District,8,ELA,325,363,319,372,300,362,52.30%,26.20%,36.70%,36.60%,23.70%,28.20%,70.70%,43.30%,55.20%,56.20%,41.60%,45.60%
0490011,Enfield School District,8,Math,323,363,320,367,283,358,30.70%,20.40%,34.70%,21.50%,23.00%,28.20%,49.70%,35.70%,52.20%,34.10%,35.90%,41.70%
0500011,Essex School District,4,ELA,52,36,54,39,37,37,55.80%,47.20%,50.00%,59.00%,62.20%,40.50%,72.40%,72.60%,66.50%,87.30%,79.60%,63.40%
0500011,Essex School District,4,Math,53,36,54,39,37,37,43.40%,19.40%,24.10%,71.80%,40.50%,51.40%,76.10%,58.20%,53.10%,93.60%,73.90%,75.50%
0500011,Essex School District,5,ELA,52,53,38,58,37,35,48.10%,43.40%,60.50%,63.80%,48.60%,37.10%,73.60%,63.20%,79.00%,88.30%,70.00%,54.30%
0500011,Essex School District,5,Math,52,53,38,58,37,35,67.30%,52.80%,47.40%,65.50%,43.20%,34.30%,88.80%,72.70%,67.60%,89.10%,66.90%,50.70%
0500011,Essex School District,6,ELA,78,51,54,38,40,36,50.00%,51.00%,64.80%,57.90%,57.50%,41.70%,66.30%,72.40%,85.00%,76.30%,69.00%,59.70%
0500011,Essex School District,6,Math,78,51,54,38,40,36,62.80%,49.00%,44.40%,68.40%,80.00%,52.80%,80.60%,65.70%,71.30%,86.60%,98.70%,66.40%
0510011,Fairfield School District,4,ELA,829,694,735,690,592,625,57.80%,49.90%,55.20%,50.90%,55.70%,56.30%,80.10%,74.00%,79.70%,75.10%,76.50%,75.80%
0510011,Fairfield School District,4,Math,831,693,733,688,593,624,51.00%,47.80%,52.50%,47.40%,50.60%,54.20%,81.00%,75.70%,79.80%,72.30%,75.00%,78.70%
0510011,Fairfield School District,5,ELA,734,853,700,737,643,612,53.40%,50.90%,53.60%,52.20%,59.70%,48.40%,75.60%,71.50%,75.00%,73.00%,81.40%,68.50%
0510011,Fairfield School District,5,Math,733,853,698,735,640,612,55.70%,59.10%,64.50%,57.30%,65.90%,58.00%,78.30%,83.20%,84.10%,78.40%,86.10%,76.70%
0510011,Fairfield School District,6,ELA,720,724,853,694,654,652,44.00%,42.00%,46.80%,43.10%,37.60%,34.80%,62.00%,58.70%,63.70%,59.50%,53.90%,48.10%
0510011,Fairfield School District,6,Math,718,724,851,694,653,650,46.90%,53.00%,47.20%,49.90%,52.10%,41.50%,69.00%,72.60%,65.40%,69.00%,68.70%,58.80%
0510011,Fairfield School District,7,ELA,763,734,745,864,696,678,46.30%,46.60%,50.30%,43.80%,44.30%,42.20%,64.80%,62.40%,70.00%,59.50%,62.50%,58.60%
0510011,Fairfield School District,7,Math,758,733,744,863,691,678,39.40%,47.70%,41.30%,44.00%,47.00%,43.40%,55.40%,63.40%,57.00%,61.20%,65.60%,58.50%
0510011,Fairfield School District,8,ELA,758,764,747,746,758,704,49.10%,44.10%,40.70%,46.20%,47.20%,47.70%,66.20%,59.10%,57.00%,61.20%,62.90%,63.40%
0510011,Fairfield School District,8,Math,755,761,743,743,753,701,51.90%,59.40%,51.80%,66.10%,53.90%,43.50%,68.30%,75.10%,67.60%,81.10%,69.60%,57.80%
0520011,Farmington School District,4,ELA,303,313,294,278,296,274,65.30%,56.90%,61.60%,61.90%,54.40%,54.40%,84.50%,77.60%,81.40%,82.70%,74.60%,75.60%
0520011,Farmington School District,4,Math,307,313,294,277,295,273,65.10%,64.50%,60.90%,64.30%,65.40%,67.40%,89.60%,88.80%,84.20%,86.30%,86.50%,90.30%
0520011,Farmington School District,5,ELA,294,318,324,302,282,309,52.40%,52.20%,53.70%,44.70%,46.10%,51.10%,72.20%,71.50%,70.40%,65.20%,66.00%,68.30%
0520011,Farmington School District,5,Math,294,317,324,300,281,309,56.80%,47.90%,49.10%,45.30%,45.90%,54.00%,79.20%,64.80%,68.70%,61.30%,64.90%,69.00%
0520011,Farmington School District,6,ELA,326,300,325,328,280,294,51.80%,57.00%,48.60%,52.40%,51.10%,52.40%,71.40%,72.20%,64.80%,70.80%,67.00%,69.60%
0520011,Farmington School District,6,Math,326,300,325,328,278,291,67.50%,62.00%,58.50%,57.90%,57.60%,75.30%,86.50%,81.70%,77.10%,74.60%,76.20%,91.70%
0520011,Farmington School District,7,ELA,314,327,300,316,298,277,41.70%,38.20%,52.00%,56.60%,43.60%,46.90%,59.00%,52.80%,66.60%,71.90%,62.10%,63.70%
0520011,Farmington School District,7,Math,315,326,299,316,296,273,65.40%,48.50%,52.20%,58.20%,51.00%,47.30%,82.80%,65.00%,63.80%,73.00%,68.40%,64.20%
0520011,Farmington School District,8,ELA,275,312,330,306,310,311,57.80%,43.90%,60.90%,50.00%,48.10%,53.10%,73.10%,60.30%,77.30%,63.80%,60.70%,66.10%
0520011,Farmington School District,8,Math,277,312,329,306,304,309,68.20%,52.90%,61.40%,65.40%,54.90%,67.30%,82.40%,69.50%,77.50%,78.80%,67.90%,80.70%
0530011,Franklin School District,4,ELA,17,19,9,19,16,16,*,*,*,*,*,*,*,*,*,*,*,*
0530011,Franklin School District,4,Math,17,19,9,19,16,16,*,*,*,*,*,*,*,*,*,*,*,*
0530011,Franklin School District,5,ELA,14,16,19,8,20,16,*,*,*,*,30.00%,*,*,*,*,*,44.30%,*
0530011,Franklin School District,5,Math,14,16,19,8,20,16,*,*,*,*,40.00%,*,*,*,*,*,67.10%,*
0530011,Franklin School District,6,ELA,20,15,15,21,13,20,25.00%,*,*,33.30%,*,55.00%,32.50%,*,*,49.90%,*,79.00%
0530011,Franklin School District,6,Math,20,15,15,21,13,20,15.00%,*,*,57.10%,*,40.00%,29.60%,*,*,82.20%,*,62.70%
0530011,Franklin School District,7,ELA,17,21,15,16,20,14,*,61.90%,*,*,45.00%,*,*,80.20%,*,*,64.70%,*
0530011,Franklin School District,7,Math,17,21,15,16,20,14,*,33.30%,*,*,30.00%,*,*,60.60%,*,*,55.40%,*
0530011,Franklin School District,8,ELA,20,17,20,15,14,18,40.00%,*,40.00%,*,*,*,61.20%,*,51.90%,*,*,*
0530011,Franklin School District,8,Math,20,17,20,15,14,18,35.00%,*,30.00%,*,*,*,50.00%,*,43.30%,*,*,*
0540011,Glastonbury School District,4,ELA,418,412,410,384,367,397,51.70%,50.50%,53.70%,50.50%,46.30%,47.90%,74.20%,68.50%,72.80%,69.70%,65.50%,69.70%
0540011,Glastonbury School District,4,Math,417,412,410,385,366,397,49.20%,50.00%,50.00%,49.60%,48.10%,56.40%,76.30%,75.60%,75.10%,75.10%,73.10%,79.60%
0540011,Glastonbury School District,5,ELA,429,428,423,414,362,407,57.10%,52.30%,52.00%,50.00%,58.80%,59.00%,77.40%,70.90%,73.60%,69.70%,78.00%,77.70%
0540011,Glastonbury School District,5,Math,429,427,423,414,360,407,67.60%,61.80%,62.60%,61.10%,66.70%,69.80%,88.00%,82.90%,81.10%,80.20%,85.10%,88.20%
0540011,Glastonbury School District,6,ELA,461,452,438,447,376,400,59.90%,54.20%,46.80%,53.50%,50.50%,51.30%,75.80%,68.00%,62.80%,69.60%,67.30%,67.50%
0540011,Glastonbury School District,6,Math,459,452,437,447,376,400,61.90%,58.60%,61.10%,69.10%,61.70%,67.80%,80.10%,74.50%,77.30%,85.80%,79.10%,83.60%
0540011,Glastonbury School District,7,ELA,503,476,465,447,391,406,38.60%,36.10%,47.70%,46.30%,49.40%,42.10%,52.50%,50.30%,65.00%,63.70%,64.90%,58.70%
0540011,Glastonbury School District,7,Math,504,476,465,447,388,405,51.40%,42.90%,49.00%,51.90%,54.10%,43.70%,71.70%,57.40%,62.90%,65.10%,69.40%,55.30%
0540011,Glastonbury School District,8,ELA,504,497,479,472,358,412,48.20%,40.40%,41.50%,45.30%,44.70%,46.60%,64.60%,54.90%,55.10%,58.50%,58.80%,60.10%
0540011,Glastonbury School District,8,Math,504,497,479,471,357,409,58.70%,44.50%,49.90%,53.50%,50.40%,48.40%,74.50%,59.90%,62.70%,66.10%,64.10%,61.20%
2310018,Goodwin University Educational Services (GUES),4,ELA,*,*,*,*,63,60,*,*,*,*,31.70%,15.00%,*,*,*,*,62.90%,51.30%
2310018,Goodwin University Educational Services (GUES),4,Math,*,*,*,*,63,60,*,*,*,*,50.80%,21.70%,*,*,*,*,82.50%,50.60%
2310018,Goodwin University Educational Services (GUES),5,ELA,*,*,*,*,62,66,*,*,*,*,17.70%,15.20%,*,*,*,*,44.10%,34.90%
2310018,Goodwin University Educational Services (GUES),5,Math,*,*,*,*,62,66,*,*,*,*,29.00%,12.10%,*,*,*,*,57.80%,27.50%
2310018,Goodwin University Educational Services (GUES),6,ELA,*,*,*,*,56,67,*,*,*,*,48.20%,23.90%,*,*,*,*,71.60%,52.40%
2310018,Goodwin University Educational Services (GUES),6,Math,*,*,*,*,56,67,*,*,*,*,37.50%,35.80%,*,*,*,*,58.10%,54.50%
2310018,Goodwin University Educational Services (GUES),7,ELA,*,*,*,*,45,58,*,*,*,*,64.40%,36.20%,*,*,*,*,86.80%,55.10%
2310018,Goodwin University Educational Services (GUES),7,Math,*,*,*,*,45,58,*,*,*,*,44.40%,58.60%,*,*,*,*,59.60%,74.30%
2310018,Goodwin University Educational Services (GUES),8,ELA,*,*,*,*,*,56,*,*,*,*,*,26.80%,*,*,*,*,*,42.50%
2310018,Goodwin University Educational Services (GUES),8,Math,*,*,*,*,*,56,*,*,*,*,*,19.60%,*,*,*,*,*,40.50%
0560011,Granby School District,4,ELA,128,121,127,145,128,111,70.30%,43.80%,58.30%,50.30%,52.30%,55.00%,90.40%,69.20%,82.20%,73.60%,77.20%,80.70%
0560011,Granby School District,4,Math,128,121,126,145,128,110,54.70%,33.10%,43.70%,44.10%,31.30%,58.20%,80.20%,62.80%,75.60%,80.40%,61.60%,85.90%
0560011,Granby School District,5,ELA,120,126,121,128,103,132,56.70%,37.30%,46.30%,45.30%,35.00%,40.20%,76.90%,59.20%,69.30%,64.30%,63.80%,67.60%
0560011,Granby School District,5,Math,120,126,121,127,102,131,55.00%,39.70%,46.30%,54.30%,51.00%,43.50%,83.80%,61.30%,66.80%,77.30%,71.00%,65.90%
0560011,Granby School District,6,ELA,146,122,130,133,117,112,65.10%,42.60%,36.20%,49.60%,33.30%,26.80%,81.50%,56.40%,52.70%,69.50%,47.70%,44.50%
0560011,Granby School District,6,Math,146,122,130,132,117,112,67.10%,32.80%,56.20%,39.40%,45.30%,19.60%,87.40%,52.40%,72.10%,56.40%,65.80%,32.40%
0560011,Granby School District,7,ELA,143,148,122,140,152,121,46.20%,43.20%,38.50%,47.90%,50.00%,50.40%,66.00%,58.00%,54.00%,66.10%,69.30%,67.30%
0560011,Granby School District,7,Math,143,148,122,139,153,119,39.20%,37.20%,45.10%,54.70%,63.40%,58.80%,56.90%,52.70%,60.50%,70.50%,81.00%,77.70%
0560011,Granby School District,8,ELA,150,143,146,119,133,149,56.00%,34.30%,36.30%,53.80%,52.60%,45.00%,71.40%,50.90%,52.40%,69.20%,67.90%,63.20%
0560011,Granby School District,8,Math,149,142,146,118,131,147,42.30%,44.40%,47.90%,35.60%,43.50%,36.70%,58.70%,62.70%,63.00%,49.10%,63.90%,49.40%
2940013,Great Oaks Charter School District,6,ELA,101,94,111,95,61,76,31.70%,31.90%,26.10%,22.10%,31.10%,34.20%,50.40%,55.80%,46.30%,45.40%,58.50%,64.60%
2940013,Great Oaks Charter School District,6,Math,101,93,111,95,59,79,55.40%,52.70%,55.90%,43.20%,45.80%,35.40%,69.20%,73.20%,71.00%,57.40%,61.20%,58.80%
2940013,Great Oaks Charter School District,7,ELA,105,87,88,99,90,90,48.60%,14.90%,21.60%,44.40%,21.10%,43.30%,69.20%,28.20%,40.20%,64.40%,38.30%,66.10%
2940013,Great Oaks Charter School District,7,Math,102,85,90,101,87,91,34.30%,25.90%,26.70%,15.80%,43.70%,37.40%,56.50%,41.20%,39.70%,24.80%,60.50%,57.40%
2940013,Great Oaks Charter School District,8,ELA,*,98,73,82,90,87,*,13.30%,21.90%,46.30%,35.60%,52.90%,*,29.20%,49.10%,65.80%,54.20%,78.40%
2940013,Great Oaks Charter School District,8,Math,*,98,72,82,87,87,*,25.50%,36.10%,20.70%,28.70%,36.80%,*,41.20%,51.90%,40.30%,46.60%,54.10%
0570011,Greenwich School District,4,ELA,614,653,698,613,576,605,57.50%,51.60%,50.10%,49.80%,54.30%,57.90%,77.40%,71.70%,69.90%,71.30%,74.60%,77.00%
0570011,Greenwich School District,4,Math,623,653,698,612,575,605,51.40%,51.10%,44.80%,55.70%,59.00%,57.70%,77.20%,74.60%,67.40%,79.00%,81.80%,81.30%
0570011,Greenwich School District,5,ELA,640,633,658,694,614,578,57.00%,51.70%,58.70%,55.80%,55.90%,57.30%,77.50%,71.00%,78.40%,76.60%,73.80%,75.60%
0570011,Greenwich School District,5,Math,651,632,658,692,612,577,58.50%,62.80%,60.00%,59.80%,61.40%,58.20%,77.60%,81.80%,77.80%,79.50%,78.20%,75.60%
0570011,Greenwich School District,6,ELA,587,623,621,634,601,582,45.80%,40.10%,46.90%,45.60%,44.10%,49.30%,63.90%,56.40%,61.60%,60.40%,59.50%,63.10%
0570011,Greenwich School District,6,Math,594,623,620,634,598,580,51.00%,60.70%,57.70%,51.90%,53.30%,62.40%,67.90%,78.50%,73.70%,66.80%,68.60%,78.80%
0570011,Greenwich School District,7,ELA,586,597,643,628,588,616,54.60%,44.60%,52.70%,55.30%,47.30%,48.50%,69.80%,61.40%,69.70%,72.20%,64.80%,64.20%
0570011,Greenwich School District,7,Math,591,597,638,628,584,612,56.20%,59.10%,57.80%,61.80%,54.80%,52.10%,72.10%,75.10%,71.20%,76.10%,69.70%,66.60%
0570011,Greenwich School District,8,ELA,598,598,606,650,659,598,54.00%,44.10%,56.10%,48.60%,51.10%,49.00%,69.40%,58.80%,72.90%,63.40%,65.30%,64.20%
0570011,Greenwich School District,8,Math,601,598,604,650,653,594,61.60%,61.50%,53.00%,53.20%,50.40%,56.20%,74.90%,77.90%,67.80%,67.10%,65.20%,70.90%
0580011,Griswold School District,4,ELA,132,129,131,121,112,127,40.20%,27.10%,35.90%,25.60%,17.90%,31.50%,65.90%,55.20%,59.50%,46.90%,39.60%,64.90%
0580011,Griswold School District,4,Math,132,129,130,121,112,127,32.60%,50.40%,34.60%,28.10%,11.60%,36.20%,59.20%,79.80%,64.40%,57.10%,37.60%,66.50%
0580011,Griswold School District,5,ELA,118,132,125,139,103,114,39.80%,40.90%,46.40%,38.80%,28.20%,45.60%,61.30%,70.60%,67.70%,67.30%,59.60%,67.80%
0580011,Griswold School District,5,Math,119,132,125,139,103,114,63.00%,68.20%,47.20%,48.20%,44.70%,55.30%,83.20%,85.60%,72.00%,71.40%,66.80%,81.40%
0580011,Griswold School District,6,ELA,124,112,126,120,107,103,41.10%,32.10%,24.60%,23.30%,15.90%,36.90%,61.60%,47.60%,37.60%,42.60%,29.10%,61.80%
0580011,Griswold School District,6,Math,124,110,126,120,107,102,47.60%,52.70%,48.40%,44.20%,29.90%,53.90%,69.00%,70.20%,67.60%,63.80%,51.50%,70.30%
0580011,Griswold School District,7,ELA,137,120,114,129,112,110,43.80%,40.80%,43.00%,46.50%,26.80%,49.10%,64.10%,61.30%,61.20%,68.10%,53.80%,67.30%
0580011,Griswold School District,7,Math,136,119,114,129,111,110,51.50%,63.90%,56.10%,44.20%,53.20%,58.20%,67.90%,84.40%,71.80%,60.10%,70.10%,75.60%
0580011,Griswold School District,8,ELA,124,135,119,116,124,108,46.00%,42.20%,53.80%,43.10%,37.90%,48.10%,65.20%,59.50%,72.00%,58.70%,56.30%,70.60%
0580011,Griswold School District,8,Math,124,134,119,116,124,108,57.30%,53.70%,37.80%,44.80%,41.10%,45.40%,73.80%,74.10%,51.20%,59.00%,62.60%,61.70%
0590011,Groton School District,4,ELA,303,307,296,297,245,244,46.90%,40.40%,43.90%,44.40%,42.40%,37.30%,73.30%,65.40%,70.40%,68.10%,66.30%,62.60%
0590011,Groton School District,4,Math,302,305,297,296,244,243,56.30%,39.00%,39.40%,47.60%,48.40%,51.90%,85.10%,68.40%,71.50%,79.20%,78.80%,77.70%
0590011,Groton School District,5,ELA,273,304,294,287,270,254,47.60%,34.20%,43.50%,46.00%,53.70%,42.10%,68.80%,55.10%,67.30%,69.30%,77.30%,68.80%
0590011,Groton School District,5,Math,275,301,294,287,268,255,52.70%,38.20%,37.80%,46.30%,66.40%,51.40%,73.80%,58.00%,60.20%,67.50%,84.30%,75.00%
0590011,Groton School District,6,ELA,283,248,289,313,237,289,31.10%,29.80%,36.30%,28.80%,29.50%,20.10%,46.80%,49.50%,51.30%,44.60%,50.20%,33.50%
0590011,Groton School District,6,Math,285,248,287,313,236,287,34.00%,27.40%,27.50%,32.90%,44.50%,16.70%,51.90%,43.70%,43.70%,47.80%,62.70%,27.70%
0590011,Groton School District,7,ELA,297,278,253,304,252,250,39.10%,47.80%,41.10%,50.70%,44.40%,35.20%,56.10%,68.40%,59.30%,69.70%,67.10%,51.30%
0590011,Groton School District,7,Math,301,278,253,304,244,249,51.20%,42.80%,43.50%,69.40%,61.50%,42.60%,66.80%,61.10%,56.80%,87.80%,79.60%,60.70%
0590011,Groton School District,8,ELA,247,288,271,265,272,266,40.50%,42.00%,39.10%,36.20%,38.20%,32.30%,60.20%,60.40%,56.40%,54.90%,53.30%,48.30%
0590011,Groton School District,8,Math,249,288,271,263,270,261,30.50%,42.00%,59.80%,51.70%,29.60%,24.90%,45.80%,59.60%,73.90%,65.50%,47.50%,42.10%
0600011,Guilford School District,4,ELA,249,247,213,230,204,228,59.00%,53.00%,68.10%,52.60%,50.50%,50.90%,81.00%,75.20%,86.10%,71.20%,72.50%,72.00%
0600011,Guilford School District,4,Math,248,248,213,230,204,227,47.60%,61.30%,57.30%,52.60%,43.60%,44.50%,68.50%,84.00%,79.80%,74.80%,64.70%,68.30%
0600011,Guilford School District,5,ELA,278,258,249,214,223,218,46.80%,38.40%,51.80%,46.70%,63.20%,45.40%,67.30%,56.40%,72.90%,63.20%,82.50%,64.80%
0600011,Guilford School District,5,Math,279,258,249,214,222,218,59.50%,59.70%,58.20%,45.80%,48.20%,36.70%,82.10%,79.10%,76.10%,65.00%,75.90%,56.80%
0600011,Guilford School District,6,ELA,249,293,263,257,222,226,54.20%,40.60%,59.30%,59.10%,52.70%,43.40%,70.50%,57.40%,75.40%,76.00%,72.10%,57.70%
0600011,Guilford School District,6,Math,249,293,263,256,222,226,51.00%,41.00%,62.40%,70.70%,76.60%,59.30%,74.00%,59.70%,82.10%,87.30%,93.40%,76.00%
0600011,Guilford School District,7,ELA,252,250,293,260,229,226,56.30%,56.80%,59.00%,46.50%,36.20%,42.50%,72.50%,73.40%,75.00%,62.50%,51.60%,59.80%
