"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
District Code,District,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2940013,Great Oaks Charter School District,Math,203,276,273,278,233,257,44.80%,34.80%,41.00%,26.60%,38.60%,36.60%,62.80%,52.00%,55.60%,40.50%,55.50%,56.70%
0570011,Greenwich School District,ELA,3025,3104,3226,3219,3038,2979,53.90%,46.50%,52.90%,51.10%,50.60%,52.40%,71.80%,64.00%,70.60%,68.90%,67.50%,68.80%
0570011,Greenwich School District,Math,3060,3103,3218,3216,3022,2968,55.80%,59.00%,54.50%,56.50%,55.70%,57.30%,74.00%,77.60%,71.60%,73.70%,72.50%,74.60%
0580011,Griswold School District,ELA,635,628,615,625,558,562,42.20%,36.80%,40.50%,35.70%,25.60%,42.00%,63.70%,59.20%,59.40%,57.20%,47.80%,66.50%
0580011,Griswold School District,Math,635,624,614,625,557,561,50.10%,57.90%,44.60%,42.10%,36.10%,49.40%,70.30%,79.00%,65.40%,62.50%,57.70%,71.10%
0590011,Groton School District,ELA,1403,1425,1403,1466,1276,1303,41.10%,39.00%,40.80%,41.20%,41.90%,33.00%,61.10%,60.00%,61.10%,61.30%,63.00%,52.30%
0590011,Groton School District,Math,1412,1420,1402,1463,1262,1295,45.50%,38.20%,41.30%,49.50%,50.00%,36.80%,65.40%,58.70%,61.30%,69.50%,70.40%,55.60%
0600011,Guilford School District,ELA,1303,1304,1271,1258,1083,1135,54.10%,44.90%,55.50%,49.70%,50.30%,43.60%,72.20%,62.00%,72.40%,66.50%,68.60%,61.00%
0600011,Guilford School District,Math,1302,1303,1270,1257,1084,1133,58.00%,58.30%,60.20%,58.80%,52.90%,50.20%,78.10%,77.50%,78.70%,75.80%,72.00%,67.70%
0620011,Hamden School District,ELA,1835,1867,1885,1923,1732,1790,37.30%,34.10%,39.30%,33.80%,40.20%,33.30%,57.30%,54.00%,58.80%,52.20%,61.50%,53.60%
0620011,Hamden School District,Math,1833,1845,1882,1917,1687,1783,36.10%,41.50%,36.70%,42.30%,46.50%,43.90%,56.50%,62.90%,56.60%,61.90%,67.40%,63.60%
0630011,Hampton School District,ELA,28,39,41,33,24,22,53.60%,53.80%,48.80%,33.30%,25.00%,31.80%,78.80%,77.60%,72.20%,60.10%,50.90%,52.10%
0630011,Hampton School District,Math,27,38,41,33,24,22,55.60%,68.40%,41.50%,45.50%,41.70%,36.40%,79.50%,81.90%,81.80%,74.50%,68.40%,63.40%
0640011,Hartford School District,ELA,6808,6878,6652,6640,5325,5342,32.20%,23.50%,31.80%,29.00%,30.10%,28.30%,54.40%,43.20%,54.80%,51.40%,51.90%,50.80%
