"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,English Learner Status (EL),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0270011,Clinton School District,Math,ELL,12,19,30,37,41,45,*,*,36.70%,43.20%,48.80%,46.70%,*,*,57.40%,68.10%,71.10%,74.30%
0270011,Clinton School District,Math,Non-ELL,715,677,657,622,471,450,48.30%,44.20%,32.60%,52.60%,41.80%,43.60%,69.50%,66.20%,52.20%,74.40%,61.90%,67.10%
0280011,Colchester School District,ELA,ELL,10,8,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
0280011,Colchester School District,ELA,Non-ELL,925,882,*,*,*,720,48.50%,36.80%,42.40%,40.90%,39.00%,38.90%,69.10%,55.20%,64.00%,60.20%,58.20%,58.40%
0280011,Colchester School District,Math,ELL,11,8,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
0280011,Colchester School District,Math,Non-ELL,924,881,*,*,*,718,42.50%,57.00%,54.40%,54.40%,56.20%,55.80%,61.70%,76.60%,75.10%,76.10%,76.60%,76.20%
0290011,Colebrook School District,ELA,Non-ELL,31,30,33,35,38,32,61.30%,26.70%,39.40%,65.70%,39.50%,40.60%,81.50%,41.10%,60.60%,77.30%,64.10%,62.60%
0290011,Colebrook School District,Math,Non-ELL,31,30,33,35,38,32,35.50%,43.30%,30.30%,51.40%,47.40%,53.10%,62.70%,71.70%,58.00%,66.10%,69.30%,75.60%
0300011,Columbia School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0300011,Columbia School District,ELA,Non-ELL,228,214,*,*,*,*,47.40%,30.40%,47.90%,46.20%,35.10%,36.20%,67.30%,48.90%,65.10%,66.30%,59.40%,58.50%
0300011,Columbia School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0300011,Columbia School District,Math,Non-ELL,227,214,*,*,*,*,37.40%,41.10%,34.00%,32.00%,56.30%,38.80%,60.90%,64.90%,56.00%,54.60%,78.30%,58.90%
2430014,Cooperative Educational Services,ELA,ELL,*,*,*,6,19,16,*,*,*,*,*,*,*,*,*,*,*,*
2430014,Cooperative Educational Services,ELA,Non-ELL,*,*,*,237,203,211,35.80%,27.20%,39.30%,38.00%,36.00%,28.40%,58.50%,46.20%,61.80%,60.50%,61.90%,52.60%
2430014,Cooperative Educational Services,Math,ELL,*,*,*,6,19,16,*,*,*,*,*,*,*,*,*,*,*,*
2430014,Cooperative Educational Services,Math,Non-ELL,*,*,*,238,201,210,37.20%,34.30%,42.80%,39.90%,42.80%,35.70%,57.60%,54.40%,62.00%,61.50%,62.60%,57.60%
0310011,Cornwall School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,ELA,Non-ELL,45,*,*,*,55,42,44.40%,50.00%,51.40%,56.40%,52.70%,40.50%,64.70%,63.80%,73.50%,72.90%,75.70%,60.90%
0310011,Cornwall School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0310011,Cornwall School District,Math,Non-ELL,45,*,*,*,55,42,46.70%,47.40%,37.80%,79.50%,60.00%,52.40%,65.70%,65.70%,58.30%,89.80%,77.30%,70.00%
0320011,Coventry School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0320011,Coventry School District,ELA,Non-ELL,606,606,613,*,*,*,54.60%,46.20%,53.00%,54.50%,46.00%,46.00%,76.60%,64.30%,71.60%,72.30%,65.70%,63.20%
0320011,Coventry School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0320011,Coventry School District,Math,Non-ELL,605,600,606,*,*,*,52.10%,52.50%,47.00%,51.40%,39.70%,51.90%,75.40%,74.30%,68.80%,71.10%,58.00%,68.40%
0330011,Cromwell School District,ELA,ELL,14,13,16,17,28,36,*,*,*,*,60.70%,27.80%,*,*,*,*,79.80%,47.00%
0330011,Cromwell School District,ELA,Non-ELL,739,744,720,751,720,709,44.20%,35.20%,50.30%,46.60%,39.90%,33.90%,66.40%,53.90%,71.10%,67.90%,60.10%,54.00%
0330011,Cromwell School District,Math,ELL,14,13,16,17,28,35,*,*,*,*,35.70%,31.40%,*,*,*,*,55.10%,61.80%
0330011,Cromwell School District,Math,Non-ELL,738,739,719,750,713,704,38.20%,49.30%,58.60%,54.00%,42.80%,39.20%,59.10%,70.00%,78.30%,76.70%,63.30%,58.50%
0340011,Danbury School District,ELA,ELL,557,712,858,963,1318,1495,35.20%,29.40%,36.20%,32.50%,35.90%,29.10%,63.20%,53.60%,62.50%,59.70%,60.00%,52.60%
0340011,Danbury School District,ELA,Non-ELL,3119,3243,3133,3129,2720,2713,42.40%,32.20%,38.90%,36.20%,38.10%,35.80%,64.00%,52.20%,59.70%,56.40%,59.00%,56.70%
