"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Year,,,,,,,,,,,
,,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,School,School Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Bristol School District,0170011,Greene-Hills GOAL,0170911,Math,*,*,*,*,*,*,7,*,6,*,*,*
Bristol School District,0170011,Greene-Hills School,0170511,ELA,580,49.1,594,48.5,585,46.5,592,42.4,582,42.6,544,49.3
Bristol School District,0170011,Greene-Hills School,0170511,Math,581,34.9,593,36.9,585,35,593,34.7,579,42.7,540,50.9
Bristol School District,0170011,Hubbell Autism Program,0173711,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Hubbell Autism Program,0173711,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Hubbell/Extended Resource,0172111,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Hubbell/Extended Resource,0172111,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Ivy Drive Extended Resource,0172211,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Ivy Drive Extended Resource,0172211,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Ivy Drive GOAL,0172611,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Ivy Drive GOAL,0172611,Math,*,*,*,*,*,*,*,*,*,*,*,*
Bristol School District,0170011,Ivy Drive School,0171911,ELA,203,61.1,203,51.2,178,52.2,167,47.9,155,63.9,172,70.9
