"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Hartland School District,0650011,Math,125,52,127,52.8,116,52.6,103,57.3,96,50,82,57.3
Hebron School District,0670011,ELA,437,63.8,401,65.6,375,66.1,351,64.4,353,66,347,72.3
Hebron School District,0670011,Math,437,58.8,401,64.6,375,65.1,351,64.1,352,60.2,347,61.7
Highville Charter School District,2860013,ELA,231,33.3,213,27.2,196,25.5,198,35.9,200,16.5,200,19.5
Highville Charter School District,2860013,Math,231,19.9,213,22.1,196,14.3,198,13.6,199,6,200,9
Integrated Day Charter School District,2640013,ELA,196,49.5,193,57.5,193,52.3,197,52.8,213,60.6,225,52
Integrated Day Charter School District,2640013,Math,192,30.2,190,37.9,192,33.3,197,40.1,213,44.6,224,39.3
Interdistrict School for Arts and Comm District,2650013,ELA,259,32.4,262,32.4,259,29.7,255,30.2,270,34.4,261,36.4
Interdistrict School for Arts and Comm District,2650013,Math,258,9.7,262,11.5,259,9.3,255,10.6,270,13,256,23.4
Jumoke Academy District,2610013,ELA,418,38.5,412,32.5,420,37.1,410,33.9,365,22.5,347,26.2
Jumoke Academy District,2610013,Math,419,20.3,409,22.5,418,24.4,408,23.8,364,17.9,346,15.9
Kent School District,0680011,ELA,151,79.5,159,78,153,77.1,132,85.6,121,73.6,115,73.9
Kent School District,0680011,Math,151,69.5,159,66,152,64.5,132,74.2,121,65.3,115,67
Killingly School District,0690011,ELA,982,58.4,991,52.1,984,56,983,57.9,982,43.5,990,41.1
Killingly School District,0690011,Math,981,35.3,987,29.2,983,37.9,976,42.1,979,26,981,26.4
Learn,2450014,ELA,413,50.8,480,46,536,46.1,575,42.6,254,38.6,258,42.6
Learn,2450014,Math,413,29.3,475,29.7,537,25,575,27.8,252,30.2,257,32.7
Lebanon School District,0710011,ELA,439,66.5,408,64,411,67.2,426,59.4,389,65.6,395,58.2
Lebanon School District,0710011,Math,439,57.4,407,52.6,408,56.1,426,53.5,386,56.5,394,55.6
Ledyard School District,0720011,ELA,1003,58.8,1025,54.6,1038,56.1,1063,53,1067,49.1,1055,45.3
Ledyard School District,0720011,Math,1002,47.2,1018,43.8,1037,50.7,1061,46.7,1067,40.4,1053,40.7
Lisbon School District,0730011,ELA,249,61.8,263,62,247,63.6,261,59,249,54.6,249,52.2
Lisbon School District,0730011,Math,249,38.6,263,37.6,247,40.5,259,43.2,248,55.2,248,52.4
Litchfield School District,0740011,ELA,432,77.5,403,73.7,393,74.3,384,69.3,380,63.7,369,70.5
Litchfield School District,0740011,Math,432,68.1,404,68.8,393,71.2,384,70.6,379,63.9,369,66.4
Madison School District,0760011,ELA,1211,71.1,1151,66.9,1036,66,1014,69,1030,73.4,1031,78.4
Madison School District,0760011,Math,1204,63.4,1141,62.6,1034,65.1,1010,66.8,1030,71.5,1030,79.2
Manchester School District,0770011,ELA,2643,40.3,2688,36.3,2697,35.9,2655,35.2,2570,28.1,2641,29
Manchester School District,0770011,Math,2640,29.7,2667,30.5,2686,27.5,2609,28.7,2548,20.1,2619,23.2
Mansfield School District,0780011,ELA,760,77.8,753,74.4,742,78.3,754,76,644,72.5,626,66.6
Mansfield School District,0780011,Math,761,70.6,752,69,738,70.1,752,71.3,639,61.8,624,59.8
Marlborough School District,0790011,ELA,340,73.5,329,72,296,69.6,275,66.2,229,65.9,243,66.3
Marlborough School District,0790011,Math,339,74.3,329,68.7,296,62.8,276,66.3,229,67.2,243,69.5
Meriden School District,0800011,ELA,3393,40.1,3442,37.9,3568,43.9,3589,47.6,3905,42.2,3974,44
Meriden School District,0800011,Math,3353,25.6,3425,29.7,3519,34.9,3558,38.3,3881,30.5,3945,36.1
Middletown School District,0830011,ELA,2088,51.9,2103,48.4,2015,46.7,1975,50.9,2012,46,2006,41.1
Middletown School District,0830011,Math,2083,38.6,2096,38.9,2010,38.3,1972,40.5,2006,28.3,1998,28.9
Milford School District,0840011,ELA,2697,64.1,2640,64.7,2550,63.1,2438,68,2334,56.3,2309,54.4
Milford School District,0840011,Math,2689,51.6,2623,56.2,2549,59.2,2442,60.8,2331,47.1,2306,48.1
Monroe School District,0850011,ELA,1436,78.5,1457,80,1443,78.4,1414,82.5,1492,75.8,1512,72.9
Monroe School District,0850011,Math,1436,66.8,1455,69.1,1442,67.3,1410,73.3,1484,59.8,1507,64.4
Montville School District,0860011,ELA,1044,60.4,1043,59.2,1021,59.5,964,62.6,960,51.6,942,51.3
Montville School District,0860011,Math,1043,46.5,1042,51.7,1018,56.2,960,57.9,958,39.5,943,44.5
Naugatuck School District,0880011,ELA,1951,48.2,1920,47.8,1899,52.4,1951,54.9,1922,40.1,1907,39.5
Naugatuck School District,0880011,Math,1951,32.1,1917,41.2,1895,49,1953,48.9,1917,32.6,1903,30.3
New Beginnings Inc Family Academy District,2800013,ELA,237,31.6,244,24.6,250,24.4,256,34.4,244,30.7,166,22.3
New Beginnings Inc Family Academy District,2800013,Math,237,19.8,244,11.9,249,11.2,256,21.5,242,12.4,166,15.1
New Britain School District,0890011,ELA,4331,22.2,4456,19.4,4656,22,4654,20.2,4415,16.4,4371,15.9
New Britain School District,0890011,Math,4302,12.6,4438,12.2,4645,13.7,4619,11.3,4382,7.5,4328,10.2
New Canaan School District,0900011,ELA,2016,83.3,2015,87.9,1947,88.3,1967,89.6,1908,84.1,1927,83.3
New Canaan School District,0900011,Math,2017,79.1,2012,85.1,1945,87.8,1966,88.3,1908,82,1925,82.9
New Fairfield School District,0910011,ELA,985,72.1,970,71.8,930,76.9,959,73.4,949,67.1,938,64.9
New Fairfield School District,0910011,Math,971,61.5,965,64.1,925,69.4,956,67.3,948,63.5,935,67.2
