"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Chester School District,0260011,ELA,N,109,*,98,*,89,*,82,*,93,*,110,*
Chester School District,0260011,ELA,Y,21,*,25,*,22,*,20,*,16,*,14,*
Chester School District,0260011,Math,N,109,*,98,*,90,*,82,*,93,*,110,*
Chester School District,0260011,Math,Y,21,*,25,*,22,*,20,*,16,*,14,*
Clinton School District,0270011,ELA,N,768,*,723,*,692,*,660,*,548,*,521,*
Clinton School District,0270011,ELA,Y,117,20.5,130,20,125,*,119,23.5,97,22.7,88,12.5
Clinton School District,0270011,Math,N,772,62,725,*,693,*,660,*,548,*,521,*
Clinton School District,0270011,Math,Y,118,11.9,129,14.7,125,15.2,119,15.1,97,11.3,87,18.4
Colchester School District,0280011,ELA,N,983,78,931,76.8,894,78.5,847,78.6,782,*,769,68.1
Colchester School District,0280011,ELA,Y,147,35.4,159,32.7,176,33.5,158,25.9,133,25.6,143,21.7
Colchester School District,0280011,Math,N,981,*,931,71.4,894,75.3,845,78.5,781,70.7,769,73.3
Colchester School District,0280011,Math,Y,147,15.6,159,22.6,176,25,158,22.2,132,24.2,143,25.2
Colebrook School District,0290011,ELA,N,35,*,33,*,37,*,42,*,36,*,38,*
Colebrook School District,0290011,ELA,Y,9,*,10,*,10,*,10,*,10,*,12,*
Colebrook School District,0290011,Math,N,35,*,33,*,37,*,42,*,36,*,38,*
Colebrook School District,0290011,Math,Y,9,*,10,*,10,*,10,*,10,*,12,*
Columbia School District,0300011,ELA,N,244,*,237,*,222,*,215,*,238,*,261,54.8
Columbia School District,0300011,ELA,Y,35,*,32,*,38,*,27,29.6,38,23.7,38,21.1
Columbia School District,0300011,Math,N,244,*,237,*,221,*,214,*,237,46.8,260,*
Columbia School District,0300011,Math,Y,35,*,32,*,38,*,25,*,38,15.8,37,*
Cooperative Educational Services,2430014,ELA,N,220,59.1,218,51.8,211,*,226,*,211,54,190,*
Cooperative Educational Services,2430014,ELA,Y,116,19.8,101,18.8,106,12.3,103,13.6,94,16,97,13.4
Cooperative Educational Services,2430014,Math,N,221,48,218,43.6,211,*,226,*,211,37,190,40.5
Cooperative Educational Services,2430014,Math,Y,116,5.2,100,9,105,*,102,*,93,6.5,97,6.2
Cornwall School District,0310011,ELA,N,51,*,46,*,38,*,55,*,59,*,*,*
Cornwall School District,0310011,ELA,Y,10,*,8,*,8,*,9,*,6,*,*,*
Cornwall School District,0310011,Math,N,51,*,47,*,38,*,55,*,59,*,*,*
Cornwall School District,0310011,Math,Y,10,*,8,*,8,*,9,*,6,*,*,*
Coventry School District,0320011,ELA,N,659,*,659,*,645,*,626,*,635,78.9,610,78
Coventry School District,0320011,ELA,Y,85,25.9,86,23.3,94,29.8,97,23.7,107,26.2,102,31.4
Coventry School District,0320011,Math,N,659,61.5,653,*,643,*,626,*,633,64,609,66
Coventry School District,0320011,Math,Y,85,7.1,86,9.3,94,10.6,96,17.7,107,15,103,17.5
Cromwell School District,0330011,ELA,N,832,*,817,*,823,*,845,72.4,804,*,805,*
Cromwell School District,0330011,ELA,Y,88,19.3,96,18.8,91,23.1,90,21.1,93,10.8,108,10.2
Cromwell School District,0330011,Math,N,832,*,813,53.9,823,*,845,*,801,*,799,*
Cromwell School District,0330011,Math,Y,87,*,95,8.4,90,15.6,89,15.7,94,*,106,*
Danbury School District,0340011,ELA,N,4488,51.3,4651,48.6,4602,51.1,4719,51,4893,35.5,4744,36.5
Danbury School District,0340011,ELA,Y,545,11.7,575,11.1,619,11.5,657,11.6,647,8.5,674,9.3
Danbury School District,0340011,Math,N,4477,37.4,4646,39.3,4597,40.1,4708,41.3,4889,25.6,4738,27.5
Danbury School District,0340011,Math,Y,540,7.8,572,7.5,618,8.4,652,10.7,646,6,669,6.1
Darien School District,0350011,ELA,N,1958,92,1938,89.8,1945,88.6,1859,90.1,1746,88.1,1707,87.3
Darien School District,0350011,ELA,Y,297,53.5,289,50.5,292,48.6,332,52.7,379,46.7,406,45.8
Darien School District,0350011,Math,N,1958,87.5,1936,86.5,1945,86.6,1860,90.2,1745,88,1705,89.3
Darien School District,0350011,Math,Y,296,43.2,289,43.3,291,46.4,330,54.8,376,40.2,405,44.9
Deep River School District,0360011,ELA,N,168,70.8,151,*,146,*,132,*,100,79,94,*
Deep River School District,0360011,ELA,Y,31,19.4,25,*,25,*,22,*,23,34.8,18,*
Deep River School District,0360011,Math,N,168,*,151,*,146,*,132,*,100,*,94,*
Deep River School District,0360011,Math,Y,31,*,25,*,25,*,22,*,23,*,18,*
Derby School District,0370011,ELA,N,580,*,585,42.1,560,*,523,*,451,*,465,39.4
Derby School District,0370011,ELA,Y,98,8.2,98,8.2,114,7,133,*,112,6.3,110,9.1
Derby School District,0370011,Math,N,576,*,585,*,562,*,523,38.6,450,*,464,25.4
Derby School District,0370011,Math,Y,97,*,97,*,114,*,134,6.7,112,*,110,6.4
East Granby School District,0400011,ELA,N,346,*,352,79.3,342,*,340,*,343,*,334,*
East Granby School District,0400011,ELA,Y,49,*,55,27.3,54,25.9,52,26.9,56,16.1,56,17.9
East Granby School District,0400011,Math,N,346,*,349,*,342,*,341,*,343,*,333,62.8
East Granby School District,0400011,Math,Y,49,20.4,54,22.2,53,18.9,51,19.6,56,*,56,14.3
East Haddam School District,0410011,ELA,N,419,72.3,400,77,383,*,382,*,384,*,388,*
East Haddam School District,0410011,ELA,Y,60,23.3,62,32.3,55,12.7,58,19,64,18.8,59,15.3
East Haddam School District,0410011,Math,N,418,*,400,*,386,*,379,*,384,52.9,388,*
East Haddam School District,0410011,Math,Y,59,*,62,22.6,55,12.7,56,14.3,63,9.5,57,*
East Hampton School District,0420011,ELA,N,757,*,796,*,786,*,770,71.7,680,66.2,652,68.6
East Hampton School District,0420011,ELA,Y,74,13.5,80,22.5,89,27,108,25,135,18.5,149,22.1
East Hampton School District,0420011,Math,N,756,47.8,797,*,785,53.9,769,62.8,679,*,648,57.7
East Hampton School District,0420011,Math,Y,74,8.1,81,13.6,89,18,108,18.5,131,9.2,148,14.2
East Hartford School District,0430011,ELA,N,2423,37.1,2439,36.2,2464,*,2358,*,2074,42.7,1992,44.5
East Hartford School District,0430011,ELA,Y,472,4.7,526,3.2,541,5.7,562,5.2,562,6.2,565,8.1
East Hartford School District,0430011,Math,N,2409,19.9,2394,20.3,2443,26.6,2344,27,2072,28.3,1982,35.3
East Hartford School District,0430011,Math,Y,464,1.5,496,1.4,537,3,561,2.1,561,4.5,556,6.1
East Haven School District,0440011,ELA,N,1157,52.5,1102,52,1062,*,1044,*,999,*,983,*
East Haven School District,0440011,ELA,Y,154,7.1,149,6.7,153,7.2,171,8.8,189,11.1,208,11.5
East Haven School District,0440011,Math,N,1152,34.3,1100,*,1061,*,1044,39,1000,34.7,981,34
East Haven School District,0440011,Math,Y,154,4.5,148,*,153,*,168,4.2,189,4.2,205,9.3
East Lyme School District,0450011,ELA,N,1028,79.1,1040,79.9,990,83.2,965,81.5,865,71.7,825,70.5
East Lyme School District,0450011,ELA,Y,141,29.8,155,33.5,153,36.6,149,28.9,196,25,210,25.2
East Lyme School District,0450011,Math,N,1026,70.6,1040,72,990,70.9,965,75.2,864,63.8,822,69
East Lyme School District,0450011,Math,Y,139,23.7,155,25.8,153,32.7,149,19.5,196,18.4,208,22.6
East Windsor School District,0470011,ELA,N,391,55.2,388,*,374,52.1,370,*,364,50.8,385,*
East Windsor School District,0470011,ELA,Y,68,11.8,74,10.8,74,9.5,86,*,90,7.8,86,*
East Windsor School District,0470011,Math,N,391,*,386,*,374,*,369,*,362,*,382,*
