"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Free/Reduced Price Meal Eligibility (3-level),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Clinton School District,0270011,ELA,R,49,42.9,45,*,65,56.9,54,51.9,49,44.9,41,39
Clinton School District,0270011,Math,F,152,28.3,136,33.1,198,27.8,216,40.7,191,37.2,203,35.5
Clinton School District,0270011,Math,N,688,62.5,673,63.9,555,58.6,509,62.9,405,50.6,364,55.8
Clinton School District,0270011,Math,R,50,40,45,33.3,65,38.5,54,40.7,49,38.8,41,48.8
Colchester School District,0280011,ELA,F,163,47.9,122,45.1,138,*,164,47,167,38.9,166,*
Colchester School District,0280011,ELA,N,915,77.8,921,74.3,891,75.1,782,76.5,719,69.3,719,65.9
Colchester School District,0280011,ELA,R,52,55.8,47,59.6,41,*,59,54.2,29,*,27,*
Colchester School District,0280011,Math,F,162,31.5,122,36.1,138,42.8,162,44.4,167,*,166,*
Colchester School District,0280011,Math,N,914,61.6,921,68.7,891,72.2,782,76.2,717,70.6,719,69.7
Colchester School District,0280011,Math,R,52,42.3,47,51.1,41,36.6,59,50.8,29,65.5,27,66.7
Colebrook School District,0290011,ELA,F,*,*,*,*,*,*,11,*,*,*,*,*
Colebrook School District,0290011,ELA,N,38,71.1,33,75.8,38,78.9,35,85.7,34,85.3,33,81.8
Colebrook School District,0290011,ELA,R,*,*,*,*,*,*,6,*,*,*,*,*
Colebrook School District,0290011,Math,F,*,*,*,*,*,*,11,*,*,*,*,*
Colebrook School District,0290011,Math,N,38,63.2,33,75.8,38,63.2,35,68.6,34,76.5,33,78.8
Colebrook School District,0290011,Math,R,*,*,*,*,*,*,6,*,*,*,*,*
Columbia School District,0300011,ELA,F,38,*,44,*,*,*,40,*,48,*,56,*
Columbia School District,0300011,ELA,N,230,70,218,61.9,218,60.6,192,73.4,218,56,226,53.5
Columbia School District,0300011,ELA,R,11,*,7,*,*,*,10,*,10,*,17,*
Columbia School District,0300011,Math,F,38,*,44,*,*,*,40,*,48,*,55,*
Columbia School District,0300011,Math,N,230,56.1,218,54.1,218,50.9,189,53.4,217,45.2,225,50.7
Columbia School District,0300011,Math,R,11,*,7,*,*,*,10,*,10,*,17,*
Cooperative Educational Services,2430014,ELA,F,88,34.1,71,38,66,*,70,27.1,81,21,102,35.3
Cooperative Educational Services,2430014,ELA,N,207,52.7,213,46.5,215,46.5,215,49.8,181,53.6,145,43.4
Cooperative Educational Services,2430014,ELA,R,41,34.1,35,17.1,36,33.3,44,38.6,43,34.9,40,*
Cooperative Educational Services,2430014,Math,F,88,22.7,71,28.2,66,*,70,21.4,80,20,102,26.5
Cooperative Educational Services,2430014,Math,N,208,40.4,212,36.3,214,39.7,214,35.5,181,33.7,145,33.8
Cooperative Educational Services,2430014,Math,R,41,19.5,35,20,36,*,44,*,43,16.3,40,17.5
Cornwall School District,0310011,ELA,F,13,*,9,*,7,*,9,*,10,*,7,*
Cornwall School District,0310011,ELA,N,48,*,45,*,39,*,55,*,46,76.1,43,62.8
Cornwall School District,0310011,ELA,R,*,*,*,*,*,*,*,*,9,*,6,*
Cornwall School District,0310011,Math,F,13,*,9,*,7,*,9,*,10,*,7,*
Cornwall School District,0310011,Math,N,48,*,46,*,39,*,55,*,46,69.6,43,*
Cornwall School District,0310011,Math,R,*,*,*,*,*,*,*,*,9,*,6,*
Coventry School District,0320011,ELA,F,118,61.9,120,*,143,63.6,120,63.3,126,51.6,132,62.1
Coventry School District,0320011,ELA,N,597,75.2,608,77.6,571,79.7,562,79.7,573,75.9,535,75
Coventry School District,0320011,ELA,R,29,51.7,17,*,25,68,41,65.9,43,67.4,45,55.6
Coventry School District,0320011,Math,F,118,*,117,*,143,*,120,46.7,125,36,131,41.2
Coventry School District,0320011,Math,N,597,57.8,605,67.9,569,68.7,561,74.3,573,61.6,536,64.2
Coventry School District,0320011,Math,R,29,*,17,*,25,*,41,63.4,42,54.8,45,48.9
Cromwell School District,0330011,ELA,F,145,35.9,141,35.5,183,38.8,181,43.6,200,32,205,28.8
Cromwell School District,0330011,ELA,N,730,70.5,735,64.4,685,71.1,711,73.8,651,62.8,666,61.6
Cromwell School District,0330011,ELA,R,45,53.3,37,54.1,46,54.3,43,62.8,46,45.7,42,33.3
Cromwell School District,0330011,Math,F,145,18.6,138,23.2,182,27.5,180,36.1,199,21.6,203,23.2
Cromwell School District,0330011,Math,N,729,52.5,734,54.6,685,62.6,711,66.7,650,58,662,56.6
Cromwell School District,0330011,Math,R,45,28.9,36,36.1,46,43.5,43,53.5,46,34.8,40,32.5
Danbury School District,0340011,ELA,F,2239,36,2340,33,3026,36.8,3007,37.5,2330,25.6,2323,28.2
Danbury School District,0340011,ELA,N,2186,57.7,2276,57.3,1689,63.1,1708,61.9,2684,38.1,2621,37.4
Danbury School District,0340011,ELA,R,608,49,610,40.7,506,47.4,661,45.4,526,32.5,474,33.8
Danbury School District,0340011,Math,F,2227,24.2,2335,25.5,3024,28,3002,29.4,2329,17.5,2317,19.9
Danbury School District,0340011,Math,N,2184,43.7,2273,47,1686,51.1,1699,51,2681,28.1,2616,29.3
Danbury School District,0340011,Math,R,606,36.6,610,33.3,505,36.8,659,39.9,525,24.6,474,24.5
Darien School District,0350011,ELA,F,40,*,32,*,25,*,25,*,25,*,24,*
Darien School District,0350011,ELA,N,2201,87.7,2179,85.5,2184,83.9,2139,85.1,2081,81.4,2080,79.9
Darien School District,0350011,ELA,R,14,*,16,*,28,*,27,*,19,*,9,*
Darien School District,0350011,Math,F,40,*,32,*,25,*,25,64,25,*,24,*
Darien School District,0350011,Math,N,2200,82.7,2177,81.8,2183,82.1,2138,85.5,2077,80.2,2077,81.4
Darien School District,0350011,Math,R,14,*,16,*,28,*,27,*,19,*,9,*
Deep River School District,0360011,ELA,F,31,*,26,*,25,*,35,*,34,*,32,*
Deep River School District,0360011,ELA,N,160,65.6,134,71.6,126,75.4,100,76,78,76.9,69,81.2
Deep River School District,0360011,ELA,R,8,*,16,*,20,*,19,*,11,*,11,*
Deep River School District,0360011,Math,F,31,*,26,*,25,*,35,*,34,*,32,*
Deep River School District,0360011,Math,N,160,54.4,134,59.7,126,66.7,100,81,78,75.6,69,79.7
Deep River School District,0360011,Math,R,8,*,16,*,20,*,19,*,11,*,11,*
Derby School District,0370011,ELA,F,334,*,351,28.2,346,29.8,349,28.1,291,27.5,335,25.7
Derby School District,0370011,ELA,N,299,47.8,267,47.9,219,55.7,240,47.9,232,45.3,200,45.5
Derby School District,0370011,ELA,R,45,*,65,41.5,109,36.7,67,*,40,37.5,40,*
