"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Gender,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
East Hampton School District,0420011,Math,Male,441,44.4,452,50.9,430,52.8,421,57.7,394,53.8,406,56.7
East Hartford School District,0430011,ELA,Female,1401,36.8,1423,37.5,1457,41.7,1417,42.8,1259,39.2,1222,42.6
East Hartford School District,0430011,ELA,Male,1494,27.2,1542,23.7,1548,28.2,1503,30.3,1377,31,1335,30.9
East Hartford School District,0430011,Math,Female,1387,18.4,1390,19.2,1443,25.1,1410,23.8,1259,22.9,1215,29.1
East Hartford School District,0430011,Math,Male,1486,15.6,1500,15.1,1537,19.8,1495,20.8,1374,23.6,1323,28.6
East Haven School District,0440011,ELA,Female,655,54.4,641,51.3,610,48.9,596,52.7,584,44.3,609,40.4
East Haven School District,0440011,ELA,Male,656,39.9,610,41.6,605,39.5,619,40.4,604,37.3,582,35.2
East Haven School District,0440011,Math,Female,652,30.7,641,30.4,610,30,596,34.4,585,26.8,609,28.2
East Haven School District,0440011,Math,Male,654,30.9,607,34.9,604,33.4,616,33.9,604,32.8,577,31.4
East Lyme School District,0450011,ELA,Female,554,77.8,559,77.6,558,79.2,540,77.2,519,66.3,498,62.9
East Lyme School District,0450011,ELA,Male,615,68.9,636,70.6,585,74.9,574,71.8,542,60,537,60
East Lyme School District,0450011,Math,Female,553,62.2,559,62.4,558,63.3,540,65.7,518,52.5,497,55.9
East Lyme School District,0450011,Math,Male,612,67.5,636,69.2,585,68.2,574,69.7,542,58.1,533,63
East Windsor School District,0470011,ELA,Female,218,51.4,223,44.8,210,48.1,229,42.4,225,41.8,228,42.1
East Windsor School District,0470011,ELA,Male,241,46.5,239,42.3,238,42.4,227,35.2,229,42.8,243,40.3
East Windsor School District,0470011,Math,Female,218,28,222,25.7,210,24.8,229,19.2,223,28.7,227,26.9
East Windsor School District,0470011,Math,Male,241,34.4,238,30.3,240,31.3,228,33.3,229,42.4,241,42.7
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ELA,Female,*,*,*,*,11,*,6,*,8,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ELA,Male,*,*,*,*,54,*,49,*,25,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Math,Female,*,*,*,*,10,*,6,*,7,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Math,Male,*,0,*,*,54,*,47,*,25,0,*,*
Eastford School District,0390011,ELA,Female,43,*,42,69,42,57.1,38,68.4,36,69.4,38,78.9
