"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0110011,Bloomfield School District,0110511,Metacomet School,Math,98,132,95,114,98,101,48.00%,24.20%,33.70%,23.70%,39.80%,44.60%,78.00%,52.70%,66.40%,49.70%,76.40%,75.40%
0110011,Bloomfield School District,0110111,Steps to Success,ELA,*,*,*,*,8,10,*,*,*,*,*,*,*,*,*,*,*,*
0110011,Bloomfield School District,0110111,Steps to Success,Math,*,*,*,*,8,9,*,*,*,*,*,*,*,*,*,*,*,*
0120011,Bolton School District,0120111,Bolton Center School,ELA,288,290,298,293,252,261,55.90%,36.20%,47.70%,39.60%,39.30%,37.20%,75.60%,52.00%,69.00%,58.70%,60.70%,57.50%
0120011,Bolton School District,0120111,Bolton Center School,Math,288,290,298,293,250,257,50.70%,37.60%,62.40%,42.00%,50.40%,42.40%,71.00%,58.00%,81.00%,61.20%,70.60%,62.10%
2950013,Booker T. Washington Academy District,2950113,Booker T. Washington Academy,ELA,*,*,28,64,224,207,*,*,21.40%,23.40%,26.80%,35.70%,*,*,50.20%,42.30%,52.20%,59.40%
2950013,Booker T. Washington Academy District,2950113,Booker T. Washington Academy,Math,*,*,28,64,224,206,*,*,7.10%,9.40%,37.50%,40.30%,*,*,20.30%,41.70%,64.70%,59.00%
0130011,Bozrah School District,0130111,Fields Memorial School,ELA,107,111,108,108,86,80,40.20%,37.80%,44.40%,36.10%,29.10%,56.30%,60.90%,62.30%,64.20%,54.70%,49.50%,79.70%
0130011,Bozrah School District,0130111,Fields Memorial School,Math,107,111,108,108,86,80,46.70%,36.00%,44.40%,42.60%,50.00%,68.80%,73.00%,59.20%,64.50%,66.60%,73.30%,86.20%
0140011,Branford School District,0145111,Francis Walsh Intermediate School,ELA,841,813,835,824,714,726,40.90%,35.10%,27.70%,44.40%,37.80%,36.50%,59.40%,51.90%,43.90%,64.00%,55.80%,53.70%
